publication_year,Other,app,rai,art,int,ops,rtg,sec,tsv,wit
2001,72,9,6,1,20,26,18,17,22,2
2002,60,25,26,5,17,23,18,13,26,3
2003,86,15,23,2,23,28,26,17,9,6
2004,85,38,40,1,21,30,21,22,19,5
2005,100,26,30,4,37,38,34,35,22,2
2006,129,29,62,11,44,41,67,53,15,8
2007,102,14,29,5,44,20,49,22,22,13
2008,73,22,43,5,31,20,51,23,17,5
2009,60,29,32,8,31,32,51,21,14,8
2010,124,18,29,9,28,22,50,43,21,19
2011,126,19,25,28,35,46,55,19,21,16
2012,89,17,13,19,40,35,61,29,20,15
2013,81,11,10,22,34,26,57,17,9,8
2014,72,6,5,50,30,30,89,13,8,22
2015,61,10,8,26,32,40,56,41,6,22
2016,63,0,0,38,30,37,91,21,8,22
2017,54,0,0,29,25,29,70,24,6,26
2018,34,0,0,21,17,30,61,28,3,14
2019,33,0,0,18,12,39,52,16,3,7
2020,54,0,0,16,21,25,37,33,5,18
2021,26,0,0,47,18,37,56,22,4,30
2022,45,0,0,8,13,30,34,31,0,33
2023,35,0,0,9,15,27,37,34,1,15
2024,23,0,0,18,14,31,41,28,0,20
2025,18,0,0,12,16,35,64,41,0,22
2026,14,0,0,6,4,11,13,18,0,8
