publication_year,Other,rtg,int,app,ops,sec,tsv,rai,art,wit
2001,71,18,20,10,26,17,22,6,1,2
2002,48,18,19,30,25,13,29,26,5,3
2003,56,27,26,31,31,18,15,23,2,6
2004,50,21,25,61,32,24,23,40,1,5
2005,46,35,40,52,44,49,26,30,4,2
2006,42,68,52,69,45,76,24,64,11,8
2007,39,55,52,38,22,42,23,31,5,13
2008,33,51,38,41,23,28,17,49,5,5
2009,26,52,33,41,35,30,14,39,8,8
2010,61,50,35,42,25,66,22,34,9,19
2011,54,58,41,42,51,46,23,37,23,15
2012,40,65,45,41,36,42,37,32,0,0
2013,56,47,49,26,29,21,16,31,0,0
2014,47,78,41,34,29,20,19,57,0,0
2015,48,57,34,23,39,36,21,11,33,0
2016,53,91,30,0,33,20,23,0,60,0
2017,34,71,27,0,27,25,24,0,55,0
2018,23,61,17,0,25,27,15,0,40,0
2019,24,52,12,0,36,15,7,0,34,0
2020,50,37,22,0,17,34,20,0,29,0
2021,22,56,18,0,24,22,17,0,81,0
2022,41,35,9,0,19,31,26,0,33,0
2023,32,37,15,0,21,36,16,0,16,0
2024,20,41,14,0,28,29,0,0,23,20
2025,15,64,16,0,31,41,0,0,18,23
