resource_uri,rfc_number,rfc_name,title,pages,words,stream,group_uri,publication_time,group_acronym,group_name,group_type,parent_group_uri,parent_acronym,parent_name,parent_type,publication_year,stream_slug,group_type_slug,parent_type_slug,raw_area,area_category
/api/v1/doc/document/rfc31/,31,rfc31,Binary Message Forms in Computer,7,1497.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1968-02-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1968,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc4/,4,rfc4,Network timetable,6,695.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-03-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc1/,1,rfc1,Host Software,11,2798.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-04-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc2/,2,rfc2,Host software,10,2055.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-04-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc3/,3,rfc3,Documentation conventions,2,358.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-04-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc6/,6,rfc6,Conversation with Bob Kahn,1,263.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-04-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc7/,7,rfc7,Host-IMP interface,7,1536.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-05-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc8/,8,rfc8,ARPA Network Functional Specifications,0,,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-05-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc9/,9,rfc9,Host Software,15,,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-05-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc5/,5,rfc5,Decode Encode Language (DEL),17,3889.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-06-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc10/,10,rfc10,Documentation conventions,3,492.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-07-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc11/,11,rfc11,Implementation of the Host - Host Software Procedures in GORDO,23,6031.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-08-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc12/,12,rfc12,IMP-Host interface flow diagrams,1,745.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-08-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc13/,13,rfc13,Zero Text Length EOF Message,1,97.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-08-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc16/,16,rfc16,M.I.T,1,59.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-08-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc17/,17,rfc17,Some questions re: Host-IMP Protocol,4,855.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-08-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc15/,15,rfc15,Network subsystem for time sharing hosts,5,1097.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-09-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc18/,18,rfc18,IMP-IMP and HOST-HOST Control Links,1,65.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-09-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc19/,19,rfc19,Two protocol suggestions to reduce congestion at swap bound nodes,2,505.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-10-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc20/,20,rfc20,ASCII format for network interchange,9,2576.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-10-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc21/,21,rfc21,Network meeting,2,351.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-10-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc22/,22,rfc22,Host-host control message formats,2,467.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-10-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc23/,23,rfc23,Transmission of Multiple Control Messages,1,112.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-10-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc25/,25,rfc25,No High Link Numbers,1,81.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-10-01 07:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc24/,24,rfc24,Documentation Conventions,3,512.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-11-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc27/,27,rfc27,Documentation Conventions,3,537.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1969-12-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1969,legacy,individ,area,Other,Other
/api/v1/doc/document/rfc28/,28,rfc28,Time Standards,1,85.0,/api/v1/name/streamname/legacy/,/api/v1/group/group/1027/,1970-01-01 08:00:00+00:00,none,Individual Submissions,/api/v1/name/grouptypename/individ/,/api/v1/group/group/1008/,gen,General Area,/api/v1/name/grouptypename/area/,1970,legacy,individ,area,Other,Other
