publication_year,publishing_unit_id,figure_area,rfc_count,group_acronym,group_name,stream_slug,group_type_slug
2001,stream:iab,Other,2,iab,Internet Architecture Board,iab,ietf
2001,stream:ietf-other,Other,4,none,Individual Submissions,ietf,individ
2001,stream:ise,Other,6,none,Individual Submissions,ise,individ
2001,stream:legacy,Other,57,none,Individual Submissions,legacy,individ
2001,wg:/api/v1/group/group/1220/,Other,1,poisson,Process for Organization of Internet Standards ONgoing,ietf,wg
2001,wg:/api/v1/group/group/1241/,Other,1,run,Responsible Use of the Network,ietf,wg
2001,wg:/api/v1/group/group/1345/,Other,1,uswg,User Services,ietf,wg
2001,wg:/api/v1/group/group/1054/,app,2,fax,Internet Fax,ietf,wg
2001,wg:/api/v1/group/group/1062/,app,1,ipp,Internet Printing Protocol,ietf,wg
2001,wg:/api/v1/group/group/1310/,app,1,tn3270e,Telnet TN3270 Enhancements,ietf,wg
2001,wg:/api/v1/group/group/1415/,app,1,wrec,Web Replication and Caching,ietf,wg
2001,wg:/api/v1/group/group/1495/,app,2,beep,Blocks Extensible Exchange Protocol,ietf,wg
2001,wg:/api/v1/group/group/970/,app,2,drums,Detailed Revision/Update of Message Standards,ietf,wg
2001,wg:/api/v1/group/group/1138/,art,1,mmusic,Multiparty Multimedia Session Control,ietf,wg
2001,wg:/api/v1/group/group/1090/,int,2,mobileip,IP Routing for Wireless/Mobile Hosts,ietf,wg
2001,wg:/api/v1/group/group/1093/,int,5,ipngwg,IPNG,ietf,wg
2001,wg:/api/v1/group/group/1210/,int,2,pppext,Point-to-Point Protocol Extensions,ietf,wg
2001,wg:/api/v1/group/group/1265/,int,1,svrloc,Service Location Protocol,ietf,wg
2001,wg:/api/v1/group/group/1479/,int,6,dnsext,DNS Extensions,ietf,wg
2001,wg:/api/v1/group/group/988/,int,4,dhc,Dynamic Host Configuration,ietf,wg
2001,wg:/api/v1/group/group/1061/,ops,4,rap,Resource Allocation Protocol,ietf,wg
2001,wg:/api/v1/group/group/1081/,ops,1,ipcdn,IP over Cable Data Network,ietf,wg
2001,wg:/api/v1/group/group/1089/,ops,1,ippm,IP Performance Measurement,ietf,wg
2001,wg:/api/v1/group/group/1118/,ops,4,mboned,MBONE Deployment,ietf,wg
2001,wg:/api/v1/group/group/1147/,ops,1,nasreq,Network Access Server Requirements,ietf,wg
2001,wg:/api/v1/group/group/1174/,ops,5,ngtrans,Next Generation Transition,ietf,wg
2001,wg:/api/v1/group/group/1237/,ops,1,rmonmib,Remote Network Monitoring,ietf,wg
2001,wg:/api/v1/group/group/1401/,ops,2,policy,Policy Framework,ietf,wg
2001,wg:/api/v1/group/group/1408/,ops,1,aaa,"Authentication, Authorization and Accounting",ietf,wg
2001,wg:/api/v1/group/group/1512/,ops,1,sming,Next Generation Structure of Management Information,ietf,wg
2001,wg:/api/v1/group/group/945/,ops,4,bmwg,Benchmarking Methodology,ietf,wg
2001,wg:/api/v1/group/group/977/,ops,1,disman,Distributed Management,ietf,wg
2001,wg:/api/v1/group/group/1421/,rai,1,sigtran,Signaling Transport,ietf,wg
2001,wg:/api/v1/group/group/1423/,rai,1,megaco,Media Gateway Control,ietf,wg
2001,wg:/api/v1/group/group/1462/,rai,1,sip,Session Initiation Protocol,ietf,wg
2001,wg:/api/v1/group/group/941/,rai,3,avt,Audio/Video Transport,ietf,wg
2001,wg:/api/v1/group/group/1041/,rtg,1,idr,Inter-Domain Routing,ietf,wg
2001,wg:/api/v1/group/group/1140/,rtg,12,mpls,Multiprotocol Label Switching,ietf,wg
2001,wg:/api/v1/group/group/1188/,rtg,1,ospf,Open Shortest Path First IGP,ietf,wg
2001,wg:/api/v1/group/group/1334/,rtg,1,udlr,UniDirectional Link Routing,ietf,wg
2001,wg:/api/v1/group/group/1469/,rtg,3,l2tpext,Layer Two Tunneling Protocol Extensions,ietf,wg
2001,wg:/api/v1/group/group/1223/,sec,3,pkix,Public-Key Infrastructure (X.509),ietf,wg
2001,wg:/api/v1/group/group/1258/,sec,7,smime,S/MIME Mail Security,ietf,wg
2001,wg:/api/v1/group/group/1365/,sec,1,openpgp,Open Specification for Pretty Good Privacy,ietf,wg
2001,wg:/api/v1/group/group/1442/,sec,2,xmldsig,XML Digital Signatures,ietf,wg
2001,wg:/api/v1/group/group/1468/,sec,2,syslog,Security Issues in Network Event Logging,ietf,wg
2001,wg:/api/v1/group/group/1501/,sec,1,sacred,Securely Available Credentials,ietf,wg
2001,wg:/api/v1/group/group/1510/,sec,1,kink,Kerberized Internet Negotiation of Keys,ietf,wg
2001,wg:/api/v1/group/group/1035/,tsv,1,issll,Integrated Services over Specific Link Layers,ietf,wg
2001,wg:/api/v1/group/group/1148/,tsv,6,nat,Network Address Translators,ietf,wg
2001,wg:/api/v1/group/group/1222/,tsv,1,pint,PSTN and Internet Internetworking,ietf,wg
2001,wg:/api/v1/group/group/1240/,tsv,2,rsvp,Resource Reservation Setup Protocol,ietf,wg
2001,wg:/api/v1/group/group/1388/,tsv,2,diffserv,Differentiated Services,ietf,wg
2001,wg:/api/v1/group/group/1427/,tsv,3,pilc,Performance Implications of Link Characteristics,ietf,wg
