publication_year,Other,rtg,int,app,ops,sec,tsv,rai,art,wit
2001,7,5,6,6,12,7,11,4,1,1
2002,6,5,7,11,9,4,11,5,2,1
2003,6,10,6,7,13,9,7,6,1,2
2004,8,12,9,13,13,7,7,9,1,1
2005,7,9,13,9,15,10,7,9,2,2
2006,5,13,9,8,15,11,4,10,2,3
2007,6,14,12,9,7,10,7,10,3,2
2008,9,11,13,7,10,11,6,10,1,1
2009,4,15,12,10,12,9,5,8,3,2
2010,8,12,15,7,10,12,6,6,4,3
2011,8,12,17,10,13,9,9,11,9,4
2012,9,16,15,8,11,10,15,17,0,0
2013,5,14,12,7,11,8,7,13,0,0
2014,6,17,16,7,9,7,8,17,0,0
2015,7,16,17,8,12,9,9,8,15,0
2016,7,21,12,0,10,11,9,0,29,0
2017,5,19,12,0,9,11,10,0,23,0
2018,6,18,11,0,11,12,7,0,15,0
2019,7,18,7,0,10,8,5,0,13,0
2020,8,14,9,0,6,12,9,0,14,0
2021,8,15,10,0,8,10,5,0,21,0
2022,9,14,6,0,10,11,8,0,15,0
2023,11,13,7,0,8,14,7,0,11,0
2024,8,15,11,0,9,12,0,0,10,9
2025,9,17,8,0,10,14,0,0,8,11
