rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,latest_rev,document_time,first_posted_submission,first_document_event,candidate_first_date,date_source,publication_year
/api/v1/doc/document/rfc3019/,3019,rfc3019,IP Version 6 Management Information Base for The Multicast Listener Discovery Protocol,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-ipngwg-mld-mib/,/api/v1/doc/document/draft-ietf-ipngwg-mld-mib/,0,draft-ietf-ipngwg-mld-mib,04,2013-03-02 16:57:11+00:00,,1999-03-30 08:00:00+00:00,1999-03-30 08:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3022/,3022,rfc3022,Traditional IP Network Address Translator (Traditional NAT),2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-nat-traditional/,/api/v1/doc/document/draft-ietf-nat-traditional/,0,draft-ietf-nat-traditional,04,2013-03-02 16:57:11+00:00,,1998-08-14 07:00:00+00:00,1998-08-14 07:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3023/,3023,rfc3023,XML Media Types,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-murata-xml/,/api/v1/doc/document/draft-murata-xml/,0,draft-murata-xml,09,2020-01-21 08:24:07+00:00,,1999-09-24 07:00:00+00:00,1999-09-24 07:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3024/,3024,rfc3024,"Reverse Tunneling for Mobile IP, revised",2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mobileip-rfc2344-bis/,/api/v1/doc/document/draft-ietf-mobileip-rfc2344-bis/,0,draft-ietf-mobileip-rfc2344-bis,02,2020-01-21 08:24:07+00:00,,2000-02-04 08:00:00+00:00,2000-02-04 08:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3026/,3026,rfc3026,Liaison to IETF/ISOC on ENUM,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-itu-sg2-liason-enum/,/api/v1/doc/document/draft-itu-sg2-liason-enum/,0,draft-itu-sg2-liason-enum,00,2023-11-03 07:15:36+00:00,,2000-11-02 08:00:00+00:00,2000-11-02 08:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3027/,3027,rfc3027,Protocol Complications with the IP Network Address Translator,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-nat-protocol-complications/,/api/v1/doc/document/draft-ietf-nat-protocol-complications/,0,draft-ietf-nat-protocol-complications,05,2013-03-02 16:57:11+00:00,,1999-02-26 08:00:00+00:00,1999-02-26 08:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3028/,3028,rfc3028,Sieve: A Mail Filtering Language,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-showalter-sieve/,/api/v1/doc/document/draft-showalter-sieve/,0,draft-showalter-sieve,11,2020-01-21 08:24:08+00:00,,1997-04-18 07:00:00+00:00,1997-04-18 07:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3031/,3031,rfc3031,Multiprotocol Label Switching Architecture,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-arch/,/api/v1/doc/document/draft-ietf-mpls-arch/,0,draft-ietf-mpls-arch,07,2020-01-21 08:24:08+00:00,,1998-03-17 08:00:00+00:00,1998-03-17 08:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3032/,3032,rfc3032,MPLS Label Stack Encoding,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-label-encaps/,/api/v1/doc/document/draft-ietf-mpls-label-encaps/,0,draft-ietf-mpls-label-encaps,08,2020-01-21 08:24:09+00:00,,1997-11-20 08:00:00+00:00,1997-11-20 08:00:00+00:00,docevent,2001
/api/v1/doc/document/rfc3033/,3033,rfc3033,The Assignment of the Information Field and Protocol Identifier in the Q.2941 Generic Identifier and Q.2957 User-to-user Signaling for the Internet Protocol,2001-01-01 08:00:00+00:00,/api/v1/doc/document/draft-ietf-mpls-git-uus/,/api/v1/doc/document/draft-ietf-mpls-git-uus/,0,draft-ietf-mpls-git-uus,04,2013-03-02 16:57:12+00:00,,1998-06-30 07:00:00+00:00,1998-06-30 07:00:00+00:00,docevent,2001
