rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,first_recorded_draft_date,family_draft_count,maximum_lineage_depth,days_to_publication
/api/v1/doc/document/rfc2821/,2821,rfc2821,Simple Mail Transfer Protocol,2001-04-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-drums-smtpupd/,1995-11-08 08:00:00+00:00,1,0,1971
/api/v1/doc/document/rfc2822/,2822,rfc2822,Internet Message Format,2001-04-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-drums-msg-fmt/,1996-11-27 08:00:00+00:00,1,0,1586
/api/v1/doc/document/rfc2919/,2919,rfc2919,List-Id: A Structured Field and Namespace for the Identification of Mailing Lists,2001-03-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-chandhok-listid/,1998-05-28 07:00:00+00:00,1,0,1008
/api/v1/doc/document/rfc2961/,2961,rfc2961,RSVP Refresh Overhead Reduction Extensions,2001-04-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-rsvp-refresh-reduct/,1999-10-27 07:00:00+00:00,1,0,522
/api/v1/doc/document/rfc3019/,3019,rfc3019,IP Version 6 Management Information Base for The Multicast Listener Discovery Protocol,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-ipngwg-mld-mib/,1999-03-30 08:00:00+00:00,1,0,643
/api/v1/doc/document/rfc3022/,3022,rfc3022,Traditional IP Network Address Translator (Traditional NAT),2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-nat-traditional/,1998-08-14 07:00:00+00:00,1,0,871
/api/v1/doc/document/rfc3023/,3023,rfc3023,XML Media Types,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-murata-xml/,1999-09-24 07:00:00+00:00,1,0,465
/api/v1/doc/document/rfc3024/,3024,rfc3024,"Reverse Tunneling for Mobile IP, revised",2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mobileip-rfc2344-bis/,2000-02-04 08:00:00+00:00,1,0,332
/api/v1/doc/document/rfc3025/,3025,rfc3025,Mobile IP Vendor/Organization-Specific Extensions,2001-02-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mobileip-vendor-ext/,1999-10-04 07:00:00+00:00,1,0,486
/api/v1/doc/document/rfc3026/,3026,rfc3026,Liaison to IETF/ISOC on ENUM,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-itu-sg2-liason-enum/,2000-11-02 08:00:00+00:00,1,0,60
/api/v1/doc/document/rfc3027/,3027,rfc3027,Protocol Complications with the IP Network Address Translator,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-nat-protocol-complications/,1999-02-26 08:00:00+00:00,1,0,675
/api/v1/doc/document/rfc3028/,3028,rfc3028,Sieve: A Mail Filtering Language,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-showalter-sieve/,1997-04-18 07:00:00+00:00,1,0,1354
/api/v1/doc/document/rfc3029/,3029,rfc3029,Internet X.509 Public Key Infrastructure Data Validation and Certification Server Protocols,2001-02-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-pkix-dcs/,1998-09-23 07:00:00+00:00,1,0,862
/api/v1/doc/document/rfc3031/,3031,rfc3031,Multiprotocol Label Switching Architecture,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-arch/,1998-03-17 08:00:00+00:00,1,0,1021
/api/v1/doc/document/rfc3032/,3032,rfc3032,MPLS Label Stack Encoding,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-label-encaps/,1997-11-20 08:00:00+00:00,1,0,1138
/api/v1/doc/document/rfc3033/,3033,rfc3033,The Assignment of the Information Field and Protocol Identifier in the Q.2941 Generic Identifier and Q.2957 User-to-user Signaling for the Internet Protocol,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-git-uus/,1998-06-30 07:00:00+00:00,1,0,916
/api/v1/doc/document/rfc3034/,3034,rfc3034,Use of Label Switching on Frame Relay Networks Specification,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-fr/,1998-01-02 08:00:00+00:00,1,0,1095
/api/v1/doc/document/rfc3035/,3035,rfc3035,MPLS using LDP and ATM VC Switching,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-atm/,1998-09-11 07:00:00+00:00,1,0,843
/api/v1/doc/document/rfc3036/,3036,rfc3036,LDP Specification,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-ldp/,1998-08-08 07:00:00+00:00,1,0,877
/api/v1/doc/document/rfc3037/,3037,rfc3037,LDP Applicability,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-ldp-applic/,1999-09-30 07:00:00+00:00,1,0,459
/api/v1/doc/document/rfc3038/,3038,rfc3038,VCID Notification over ATM link for LDP,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-mpls-vcid-atm/,1998-03-06 08:00:00+00:00,1,0,1032
/api/v1/doc/document/rfc3039/,3039,rfc3039,Internet X.509 Public Key Infrastructure Qualified Certificates Profile,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-pkix-qc/,1999-02-04 08:00:00+00:00,1,0,697
/api/v1/doc/document/rfc3040/,3040,rfc3040,Internet Web Replication and Caching Taxonomy,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-wrec-taxonomy/,1999-06-28 07:00:01+00:00,1,0,553
/api/v1/doc/document/rfc3041/,3041,rfc3041,Privacy Extensions for Stateless Address Autoconfiguration in IPv6,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-ipngwg-addrconf-privacy/,1999-06-29 07:00:00+00:00,1,0,552
/api/v1/doc/document/rfc3042/,3042,rfc3042,Enhancing TCP's Loss Recovery Using Limited Transmit,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-tsvwg-limited-xmit/,2000-08-23 07:00:00+00:00,1,0,131
/api/v1/doc/document/rfc3043/,3043,rfc3043,The Network Solutions Personal Internet Name (PIN): A URN Namespace for People and Organizations,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-mealling-pin-urn/,2000-05-18 07:00:00+00:00,1,0,228
/api/v1/doc/document/rfc3044/,3044,rfc3044,Using The ISSN (International Serial Standard Number) as URN (Uniform Resource Names) within an ISSN-URN Namespace,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-rozenfeld-urn-issn/,2000-09-05 07:00:00+00:00,1,0,118
/api/v1/doc/document/rfc3045/,3045,rfc3045,Storing Vendor Information in the LDAP root DSE,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-mmeredith-rootdse-vendor-info/,1999-11-18 08:00:00+00:00,1,0,410
/api/v1/doc/document/rfc3046/,3046,rfc3046,DHCP Relay Agent Information Option,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-dhc-agent-options/,1996-12-16 08:00:00+00:00,1,0,1477
/api/v1/doc/document/rfc3047/,3047,rfc3047,RTP Payload Format for ITU-T Recommendation G.722.1,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-avt-rtp-g7221/,2000-06-15 07:00:00+00:00,1,0,200
/api/v1/doc/document/rfc3048/,3048,rfc3048,Reliable Multicast Transport Building Blocks for One-to-Many Bulk-Data Transfer,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-rmt-buildingblocks/,1999-06-18 07:00:00+00:00,1,0,563
/api/v1/doc/document/rfc3049/,3049,rfc3049,TN3270E Service Location and Session Balancing,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-ietf-tn3270e-service-loc/,1998-05-21 07:00:00+00:00,1,0,956
/api/v1/doc/document/rfc3050/,3050,rfc3050,Common Gateway Interface for SIP,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-lennox-sip-cgi/,1998-11-16 08:00:00+00:00,1,0,777
/api/v1/doc/document/rfc3051/,3051,rfc3051,IP Payload Compression Using ITU-T V.44 Packet Method,2001-01-01 08:00:00+00:00,2001,/api/v1/doc/document/draft-heath-ipcomp-v44/,2000-09-05 07:00:00+00:00,1,0,118
