publication_year,rfc_count,lower_quartile_days,median_days,upper_quartile_days,mean_days,minimum_days,maximum_days
2001,,,,,,,
2002,,,,,,,
2003,,,,,,,
2004,,,,,,,
2005,,,,,,,
2006,,,,,,,
2007,13.0,83.0,91.0,128.0,106.61538461538461,48.0,167.0
2008,195.0,134.0,216.0,328.5,228.62051282051283,15.0,498.0
2009,254.0,322.75,473.0,559.75,445.37401574803147,27.0,866.0
2010,318.0,459.5,690.5,870.5,657.3805031446541,42.0,1185.0
2011,372.0,326.0,573.0,905.5,635.3010752688172,23.0,1554.0
2012,333.0,352.0,610.0,1108.0,744.6756756756756,82.0,1879.0
2013,273.0,371.0,632.0,942.0,732.3333333333334,78.0,2097.0
2014,321.0,391.0,728.0,1129.0,853.0747663551402,97.0,2576.0
2015,300.0,387.0,713.0,1134.5,841.55,119.0,2878.0
2016,310.0,427.0,668.0,1110.75,854.9806451612903,77.0,3459.0
2017,260.0,488.5,763.5,1126.0,905.7846153846153,92.0,3594.0
2018,206.0,497.5,835.5,1209.5,900.2961165048544,127.0,4004.0
2019,178.0,555.5,940.5,1326.75,1021.6685393258427,149.0,3349.0
2020,207.0,508.5,795.0,1228.5,977.0144927536232,55.0,3654.0
2021,239.0,675.5,1185.0,2087.0,1440.2384937238494,127.0,4794.0
2022,192.0,612.0,1129.5,1675.75,1227.0520833333333,127.0,4129.0
2023,170.0,692.75,1115.5,1552.5,1194.1352941176472,61.0,3960.0
2024,174.0,533.75,1006.0,1581.75,1194.9597701149426,99.0,3830.0
2025,207.0,647.5,1081.0,1889.5,1339.193236714976,169.0,4824.0
