publication_year,rfc_count,submission_date_count,minimum,q1,median,q3,maximum,mean
2010,318,318,42,504.75,755.5,907.0,1191,701.4276729559748
2011,372,372,23,393.25,728.0,1080.75,1554,737.9489247311828
2012,333,333,82,463.0,795.0,1350.0,1879,877.7177177177177
2013,273,273,78,417.0,798.0,1222.0,2223,869.8974358974359
2014,321,321,97,561.0,969.0,1438.0,2587,1058.3520249221183
2015,300,300,119,576.0,995.0,1466.25,2878,1091.2066666666667
2016,310,310,86,628.0,1038.0,1491.25,3459,1140.0290322580645
2017,260,260,92,600.0,1023.5,1637.5,3594,1178.7961538461539
2018,206,206,158,747.0,1190.5,1679.75,4004,1281.1456310679612
2019,178,178,159,801.25,1284.0,1717.5,4393,1360.3314606741574
2020,207,207,55,678.5,1201.0,1922.0,3991,1352.3574879227053
2021,239,239,127,925.5,1706.0,2590.0,4850,1837.3723849372384
2022,192,192,144,866.0,1449.0,2029.25,4248,1514.6302083333333
2023,170,170,61,962.5,1453.0,2131.5,4423,1630.1529411764707
2024,173,173,130,834.0,1548.0,2402.0,4931,1697.820809248555
2025,206,206,169,925.0,1652.0,2562.25,4824,1802.5194174757282
