rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,draft_uri,draft_name,draft_title,latest_rev,document_time,first_submission,chain_depth,selected_edge_score,is_final_draft
/api/v1/doc/document/rfc6819/,6819,rfc6819,OAuth 2.0 Threat Model and Security Considerations,2013-01-08 08:25:20+00:00,2013,/api/v1/doc/document/draft-ietf-oauth-v2-threatmodel/,/api/v1/doc/document/draft-ietf-oauth-v2-threatmodel/,draft-ietf-oauth-v2-threatmodel,OAuth 2.0 Threat Model and Security Considerations,08,2020-01-31 08:23:13+00:00,2011-07-01 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6828/,6828,rfc6828,Content Splicing for RTP Sessions,2013-01-08 08:25:21+00:00,2013,/api/v1/doc/document/draft-ietf-avtext-splicing-for-rtp/,/api/v1/doc/document/draft-ietf-avtext-splicing-for-rtp/,draft-ietf-avtext-splicing-for-rtp,Content Splicing for RTP Sessions,13,2018-12-20 08:26:57+00:00,2011-10-08 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6828/,6828,rfc6828,Content Splicing for RTP Sessions,2013-01-08 08:25:21+00:00,2013,/api/v1/doc/document/draft-ietf-avtext-splicing-for-rtp/,/api/v1/doc/document/draft-xia-avtext-splicing-for-rtp/,draft-xia-avtext-splicing-for-rtp,Content Splicing for RTP Sessions,01,2011-10-10 07:00:00+00:00,2011-08-24 00:00:00+00:00,1,0.9551282051282052,False
/api/v1/doc/document/rfc6828/,6828,rfc6828,Content Splicing for RTP Sessions,2013-01-08 08:25:21+00:00,2013,/api/v1/doc/document/draft-ietf-avtext-splicing-for-rtp/,/api/v1/doc/document/draft-xia-avt-splicing-for-rtp/,draft-xia-avt-splicing-for-rtp,Content Splicing for RTP Sessions,00,2011-03-03 08:00:00+00:00,2010-10-15 00:00:00+00:00,2,0.9825581395348838,False
/api/v1/doc/document/rfc6829/,6829,rfc6829,Label Switched Path (LSP) Ping for Pseudowire Forwarding Equivalence Classes (FECs) Advertised over IPv6,2013-01-08 08:25:21+00:00,2013,/api/v1/doc/document/draft-ietf-mpls-ipv6-pw-lsp-ping/,/api/v1/doc/document/draft-ietf-mpls-ipv6-pw-lsp-ping/,draft-ietf-mpls-ipv6-pw-lsp-ping,Label Switched Path (LSP) Ping for Pseudowire Forwarding Equivalence Classes (FECs) Advertised over IPv6,04,2018-12-20 08:26:58+00:00,2012-05-29 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6829/,6829,rfc6829,Label Switched Path (LSP) Ping for Pseudowire Forwarding Equivalence Classes (FECs) Advertised over IPv6,2013-01-08 08:25:21+00:00,2013,/api/v1/doc/document/draft-ietf-mpls-ipv6-pw-lsp-ping/,/api/v1/doc/document/draft-chen-mpls-ipv6-pw-lsp-ping/,draft-chen-mpls-ipv6-pw-lsp-ping,Label Switched Path (LSP) Ping for IPv6 Pseudowire FECs,03,2012-10-10 18:39:38+00:00,2011-08-04 00:00:00+00:00,1,0.7485691573926868,False
/api/v1/doc/document/rfc6842/,6842,rfc6842,Client Identifier Option in DHCP Server Replies,2013-01-08 08:25:22+00:00,2013,/api/v1/doc/document/draft-ietf-dhc-client-id/,/api/v1/doc/document/draft-ietf-dhc-client-id/,draft-ietf-dhc-client-id,Client Identifier Option in DHCP Server Replies,07,2015-10-14 20:50:58+00:00,2011-08-16 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6772/,6772,rfc6772,Geolocation Policy: A Document Format for Expressing Privacy Preferences for Location Information,2013-01-11 08:27:18+00:00,2013,/api/v1/doc/document/draft-ietf-geopriv-policy/,/api/v1/doc/document/draft-ietf-geopriv-policy/,draft-ietf-geopriv-policy,Geolocation Policy: A Document Format for Expressing Privacy Preferences for Location Information,27,2018-12-20 08:26:43+00:00,2007-10-02 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6827/,6827,rfc6827,Automatically Switched Optical Network (ASON) Routing for OSPFv2 Protocols,2013-01-11 08:27:20+00:00,2013,/api/v1/doc/document/draft-ietf-ccamp-rfc5787bis/,/api/v1/doc/document/draft-ietf-ccamp-rfc5787bis/,draft-ietf-ccamp-rfc5787bis,Automatically Switched Optical Network (ASON) Routing for OSPFv2 Protocols,06,2018-12-20 08:26:57+00:00,2011-04-29 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6827/,6827,rfc6827,Automatically Switched Optical Network (ASON) Routing for OSPFv2 Protocols,2013-01-11 08:27:20+00:00,2013,/api/v1/doc/document/draft-ietf-ccamp-rfc5787bis/,/api/v1/doc/document/draft-malis-ccamp-rfc5787bis/,draft-malis-ccamp-rfc5787bis,Updates to ASON Routing for OSPFv2 Protocols (RFC 5787bis),03,2011-10-10 07:00:00+00:00,2010-06-25 00:00:00+00:00,1,0.6524639423076923,False
/api/v1/doc/document/rfc6841/,6841,rfc6841,A Framework for DNSSEC Policies and DNSSEC Practice Statements,2013-01-11 08:27:22+00:00,2013,/api/v1/doc/document/draft-ietf-dnsop-dnssec-dps-framework/,/api/v1/doc/document/draft-ietf-dnsop-dnssec-dps-framework/,draft-ietf-dnsop-dnssec-dps-framework,A Framework for DNSSEC Policies and DNSSEC Practice Statements,11,2018-12-20 08:27:01+00:00,2009-11-25 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6841/,6841,rfc6841,A Framework for DNSSEC Policies and DNSSEC Practice Statements,2013-01-11 08:27:22+00:00,2013,/api/v1/doc/document/draft-ietf-dnsop-dnssec-dps-framework/,/api/v1/doc/document/draft-ljunggren-dps-framework/,draft-ljunggren-dps-framework,DNSSEC Signing Policy & Practice Statement Framework,01,2009-12-14 08:00:00+00:00,2009-07-05 00:00:00+00:00,1,0.6794101731601732,False
/api/v1/doc/document/rfc6847/,6847,rfc6847,Fibre Channel over Ethernet (FCoE) over Transparent Interconnection of Lots of Links (TRILL),2013-01-11 08:27:22+00:00,2013,/api/v1/doc/document/draft-mme-trill-fcoe/,/api/v1/doc/document/draft-mme-trill-fcoe/,draft-mme-trill-fcoe,Fibre Channel over Ethernet (FCoE) over Transparent Interconnection of Lots of Links (TRILL),05,2015-10-14 20:52:32+00:00,2011-06-30 00:00:00+00:00,0,,True
