publication_year,rfc_count,minimum,q1,median,q3,maximum,mean
2013,273,78,417.0,796.0,1214.0,2223,865.2124542124542
2014,321,97,561.0,961.0,1438.0,2587,1055.221183800623
2015,300,119,570.0,975.5,1459.25,2878,1083.3
2016,310,86,626.0,1037.5,1452.0,3459,1127.425806451613
2017,260,92,600.0,1023.5,1637.5,3594,1176.0884615384616
2018,206,158,729.25,1182.0,1665.5,4004,1267.6990291262136
2019,178,159,801.25,1284.0,1717.5,4393,1359.6460674157304
2020,207,55,678.5,1201.0,1870.0,3991,1341.888888888889
2021,239,127,925.5,1706.0,2531.5,4850,1822.1464435146443
2022,192,144,852.75,1442.5,2029.25,4248,1505.9114583333333
2023,170,61,962.5,1453.0,2131.5,4423,1624.1
2024,174,130,815.75,1498.0,2387.0,4931,1666.528735632184
2025,207,169,928.0,1659.0,2590.5,5721,1820.9178743961352
