rfc_uri,rfc_number,rfc_name,rfc_title,draft_uri,draft_name,draft_title,final_draft_revision,publication_time,first_submission_date,publication_year,days_to_publication
/api/v1/doc/document/rfc5025/,5025,rfc5025,Presence Authorization Rules,/api/v1/doc/document/draft-ietf-simple-presence-rules/,draft-ietf-simple-presence-rules,Presence Authorization Rules,10,2007-12-18 01:02:59+00:00,2007-07-08 00:00:00+00:00,2007,163
/api/v1/doc/document/rfc5039/,5039,rfc5039,The Session Initiation Protocol (SIP) and Spam,/api/v1/doc/document/draft-ietf-sipping-spam/,draft-ietf-sipping-spam,The Session Initiation Protocol (SIP) and Spam,05,2008-01-05 00:06:11+00:00,2007-07-08 00:00:00+00:00,2008,181
/api/v1/doc/document/rfc5049/,5049,rfc5049,Applying Signaling Compression (SigComp) to the Session Initiation Protocol (SIP),/api/v1/doc/document/draft-ietf-rohc-sigcomp-sip/,draft-ietf-rohc-sigcomp-sip,Applying Signaling Compression (SigComp) to the Session Initiation Protocol (SIP),08,2007-12-12 23:04:26+00:00,2007-09-20 00:00:00+00:00,2007,83
/api/v1/doc/document/rfc5056/,5056,rfc5056,On the Use of Channel Bindings to Secure Channels,/api/v1/doc/document/draft-williams-on-channel-binding/,draft-williams-on-channel-binding,On the Use of Channel Bindings to Secure Channels,04,2007-11-17 03:10:11+00:00,2007-07-26 00:00:00+00:00,2007,114
/api/v1/doc/document/rfc5064/,5064,rfc5064,The Archived-At Message Header Field,/api/v1/doc/document/draft-duerst-archived-at/,draft-duerst-archived-at,The Archived-At Message Header Field,09,2007-12-21 22:58:37+00:00,2007-07-07 00:00:00+00:00,2007,167
/api/v1/doc/document/rfc5079/,5079,rfc5079,Rejecting Anonymous Requests in the Session Initiation Protocol (SIP),/api/v1/doc/document/draft-ietf-sip-acr-code/,draft-ietf-sip-acr-code,Rejecting Anonymous Requests in the Session Initiation Protocol (SIP),05,2007-12-18 01:03:17+00:00,2007-07-05 00:00:00+00:00,2007,166
/api/v1/doc/document/rfc5082/,5082,rfc5082,The Generalized TTL Security Mechanism (GTSM),/api/v1/doc/document/draft-ietf-rtgwg-rfc3682bis/,draft-ietf-rtgwg-rfc3682bis,The Generalized TTL Security Mechanism (GTSM),10,2007-10-31 22:53:05+00:00,2007-06-25 00:00:00+00:00,2007,128
/api/v1/doc/document/rfc5083/,5083,rfc5083,Cryptographic Message Syntax (CMS) Authenticated-Enveloped-Data Content Type,/api/v1/doc/document/draft-ietf-smime-cms-auth-enveloped/,draft-ietf-smime-cms-auth-enveloped,Cryptographic Message Syntax (CMS) Authenticated-Enveloped-Data Content Type,06,2007-11-30 21:09:49+00:00,2007-09-21 00:00:00+00:00,2007,70
/api/v1/doc/document/rfc5084/,5084,rfc5084,Using AES-CCM and AES-GCM Authenticated Encryption in the Cryptographic Message Syntax (CMS),/api/v1/doc/document/draft-ietf-smime-cms-aes-ccm-and-gcm/,draft-ietf-smime-cms-aes-ccm-and-gcm,Using AES-CCM and AES-GCM Authenticated Encryption in the Cryptographic Message Syntax (CMS),03,2007-11-30 21:09:51+00:00,2007-09-20 00:00:00+00:00,2007,71
/api/v1/doc/document/rfc5085/,5085,rfc5085,Pseudowire Virtual Circuit Connectivity Verification (VCCV): A Control Channel for Pseudowires,/api/v1/doc/document/draft-ietf-pwe3-vccv/,draft-ietf-pwe3-vccv,Pseudowire Virtual Circuit Connectivity Verification (VCCV): A Control Channel for Pseudowires,15,2007-12-21 22:58:46+00:00,2007-09-21 00:00:00+00:00,2007,91
