rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,publication_year
/api/v1/doc/document/rfc5082/,5082,rfc5082,The Generalized TTL Security Mechanism (GTSM),2007-10-31 22:53:05+00:00,/api/v1/doc/document/draft-ietf-rtgwg-rfc3682bis/,/api/v1/doc/document/draft-ietf-rtgwg-rfc3682bis/,0,draft-ietf-rtgwg-rfc3682bis,2007
/api/v1/doc/document/rfc5056/,5056,rfc5056,On the Use of Channel Bindings to Secure Channels,2007-11-17 03:10:11+00:00,/api/v1/doc/document/draft-williams-on-channel-binding/,/api/v1/doc/document/draft-williams-on-channel-binding/,0,draft-williams-on-channel-binding,2007
/api/v1/doc/document/rfc5056/,5056,rfc5056,On the Use of Channel Bindings to Secure Channels,2007-11-17 03:10:11+00:00,/api/v1/doc/document/draft-williams-on-channel-binding/,/api/v1/doc/document/draft-ietf-nfsv4-channel-bindings/,1,draft-ietf-nfsv4-channel-bindings,2007
/api/v1/doc/document/rfc5092/,5092,rfc5092,IMAP URL Scheme,2007-11-20 01:49:38+00:00,/api/v1/doc/document/draft-ietf-lemonade-rfc2192bis/,/api/v1/doc/document/draft-ietf-lemonade-rfc2192bis/,0,draft-ietf-lemonade-rfc2192bis,2007
/api/v1/doc/document/rfc5083/,5083,rfc5083,Cryptographic Message Syntax (CMS) Authenticated-Enveloped-Data Content Type,2007-11-30 21:09:49+00:00,/api/v1/doc/document/draft-ietf-smime-cms-auth-enveloped/,/api/v1/doc/document/draft-ietf-smime-cms-auth-enveloped/,0,draft-ietf-smime-cms-auth-enveloped,2007
/api/v1/doc/document/rfc5084/,5084,rfc5084,Using AES-CCM and AES-GCM Authenticated Encryption in the Cryptographic Message Syntax (CMS),2007-11-30 21:09:51+00:00,/api/v1/doc/document/draft-ietf-smime-cms-aes-ccm-and-gcm/,/api/v1/doc/document/draft-ietf-smime-cms-aes-ccm-and-gcm/,0,draft-ietf-smime-cms-aes-ccm-and-gcm,2007
/api/v1/doc/document/rfc5049/,5049,rfc5049,Applying Signaling Compression (SigComp) to the Session Initiation Protocol (SIP),2007-12-12 23:04:26+00:00,/api/v1/doc/document/draft-ietf-rohc-sigcomp-sip/,/api/v1/doc/document/draft-ietf-rohc-sigcomp-sip/,0,draft-ietf-rohc-sigcomp-sip,2007
/api/v1/doc/document/rfc5025/,5025,rfc5025,Presence Authorization Rules,2007-12-18 01:02:59+00:00,/api/v1/doc/document/draft-ietf-simple-presence-rules/,/api/v1/doc/document/draft-ietf-simple-presence-rules/,0,draft-ietf-simple-presence-rules,2007
/api/v1/doc/document/rfc5025/,5025,rfc5025,Presence Authorization Rules,2007-12-18 01:02:59+00:00,/api/v1/doc/document/draft-ietf-simple-presence-rules/,/api/v1/doc/document/draft-ietf-simple-xcap-auth-usage/,1,draft-ietf-simple-xcap-auth-usage,2007
/api/v1/doc/document/rfc5079/,5079,rfc5079,Rejecting Anonymous Requests in the Session Initiation Protocol (SIP),2007-12-18 01:03:17+00:00,/api/v1/doc/document/draft-ietf-sip-acr-code/,/api/v1/doc/document/draft-ietf-sip-acr-code/,0,draft-ietf-sip-acr-code,2007
/api/v1/doc/document/rfc5079/,5079,rfc5079,Rejecting Anonymous Requests in the Session Initiation Protocol (SIP),2007-12-18 01:03:17+00:00,/api/v1/doc/document/draft-ietf-sip-acr-code/,/api/v1/doc/document/draft-rosenberg-sipping-acr-code/,1,draft-rosenberg-sipping-acr-code,2007
/api/v1/doc/document/rfc5094/,5094,rfc5094,Mobile IPv6 Vendor Specific Option,2007-12-18 01:03:50+00:00,/api/v1/doc/document/draft-ietf-mip6-vsm/,/api/v1/doc/document/draft-ietf-mip6-vsm/,0,draft-ietf-mip6-vsm,2007
/api/v1/doc/document/rfc5094/,5094,rfc5094,Mobile IPv6 Vendor Specific Option,2007-12-18 01:03:50+00:00,/api/v1/doc/document/draft-ietf-mip6-vsm/,/api/v1/doc/document/draft-devarapalli-mip6-vsm/,1,draft-devarapalli-mip6-vsm,2007
/api/v1/doc/document/rfc5096/,5096,rfc5096,Mobile IPv6 Experimental Messages,2007-12-18 01:03:58+00:00,/api/v1/doc/document/draft-ietf-mip6-experimental-messages/,/api/v1/doc/document/draft-ietf-mip6-experimental-messages/,0,draft-ietf-mip6-experimental-messages,2007
/api/v1/doc/document/rfc5096/,5096,rfc5096,Mobile IPv6 Experimental Messages,2007-12-18 01:03:58+00:00,/api/v1/doc/document/draft-ietf-mip6-experimental-messages/,/api/v1/doc/document/draft-devarapalli-mip6-experimental-messages/,1,draft-devarapalli-mip6-experimental-messages,2007
/api/v1/doc/document/rfc5064/,5064,rfc5064,The Archived-At Message Header Field,2007-12-21 22:58:37+00:00,/api/v1/doc/document/draft-duerst-archived-at/,/api/v1/doc/document/draft-duerst-archived-at/,0,draft-duerst-archived-at,2007
/api/v1/doc/document/rfc5085/,5085,rfc5085,Pseudowire Virtual Circuit Connectivity Verification (VCCV): A Control Channel for Pseudowires,2007-12-21 22:58:46+00:00,/api/v1/doc/document/draft-ietf-pwe3-vccv/,/api/v1/doc/document/draft-ietf-pwe3-vccv/,0,draft-ietf-pwe3-vccv,2007
/api/v1/doc/document/rfc5133/,5133,rfc5133,Terminal Endpoint Identifier (TEI) Query Request Number Change,2007-12-21 22:59:20+00:00,/api/v1/doc/document/draft-ietf-sigtran-rfc4233update/,/api/v1/doc/document/draft-ietf-sigtran-rfc4233update/,0,draft-ietf-sigtran-rfc4233update,2007
/api/v1/doc/document/rfc5133/,5133,rfc5133,Terminal Endpoint Identifier (TEI) Query Request Number Change,2007-12-21 22:59:20+00:00,/api/v1/doc/document/draft-ietf-sigtran-rfc4233update/,/api/v1/doc/document/draft-tuexen-sigtran-rfc4233update/,1,draft-tuexen-sigtran-rfc4233update,2007
/api/v1/doc/document/rfc5039/,5039,rfc5039,The Session Initiation Protocol (SIP) and Spam,2008-01-05 00:06:11+00:00,/api/v1/doc/document/draft-ietf-sipping-spam/,/api/v1/doc/document/draft-ietf-sipping-spam/,0,draft-ietf-sipping-spam,2008
/api/v1/doc/document/rfc5111/,5111,rfc5111,Experiment in Exploratory Group Formation within the Internet Engineering Task Force (IETF),2008-01-10 01:20:18+00:00,/api/v1/doc/document/draft-aboba-sg-experiment/,/api/v1/doc/document/draft-aboba-sg-experiment/,0,draft-aboba-sg-experiment,2008
/api/v1/doc/document/rfc5228/,5228,rfc5228,Sieve: An Email Filtering Language,2008-01-16 19:51:17+00:00,/api/v1/doc/document/draft-ietf-sieve-3028bis/,/api/v1/doc/document/draft-ietf-sieve-3028bis/,0,draft-ietf-sieve-3028bis,2008
/api/v1/doc/document/rfc5097/,5097,rfc5097,MIB for the UDP-Lite protocol,2008-01-26 00:35:21+00:00,/api/v1/doc/document/draft-ietf-tsvwg-udplite-mib/,/api/v1/doc/document/draft-ietf-tsvwg-udplite-mib/,0,draft-ietf-tsvwg-udplite-mib,2008
/api/v1/doc/document/rfc5097/,5097,rfc5097,MIB for the UDP-Lite protocol,2008-01-26 00:35:21+00:00,/api/v1/doc/document/draft-ietf-tsvwg-udplite-mib/,/api/v1/doc/document/draft-renker-tsvwg-udplite-mib/,1,draft-renker-tsvwg-udplite-mib,2008
/api/v1/doc/document/rfc5114/,5114,rfc5114,Additional Diffie-Hellman Groups for Use with IETF Standards,2008-01-26 00:35:40+00:00,/api/v1/doc/document/draft-lepinski-dh-groups/,/api/v1/doc/document/draft-lepinski-dh-groups/,0,draft-lepinski-dh-groups,2008
/api/v1/doc/document/rfc5129/,5129,rfc5129,Explicit Congestion Marking in MPLS,2008-01-26 00:35:51+00:00,/api/v1/doc/document/draft-ietf-tsvwg-ecn-mpls/,/api/v1/doc/document/draft-ietf-tsvwg-ecn-mpls/,0,draft-ietf-tsvwg-ecn-mpls,2008
/api/v1/doc/document/rfc5113/,5113,rfc5113,Network Discovery and Selection Problem,2008-01-26 00:36:04+00:00,/api/v1/doc/document/draft-ietf-eap-netsel-problem/,/api/v1/doc/document/draft-ietf-eap-netsel-problem/,0,draft-ietf-eap-netsel-problem,2008
/api/v1/doc/document/rfc5142/,5142,rfc5142,Mobility Header Home Agent Switch Message,2008-01-29 01:28:04+00:00,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,0,draft-ietf-mip6-ha-switch,2008
/api/v1/doc/document/rfc5142/,5142,rfc5142,Mobility Header Home Agent Switch Message,2008-01-29 01:28:04+00:00,/api/v1/doc/document/draft-ietf-mip6-ha-switch/,/api/v1/doc/document/draft-haley-mip6-ha-switch/,1,draft-haley-mip6-ha-switch,2008
/api/v1/doc/document/rfc5110/,5110,rfc5110,Overview of the Internet Multicast Routing Architecture,2008-02-01 00:32:23+00:00,/api/v1/doc/document/draft-ietf-mboned-routingarch/,/api/v1/doc/document/draft-ietf-mboned-routingarch/,0,draft-ietf-mboned-routingarch,2008
/api/v1/doc/document/rfc5110/,5110,rfc5110,Overview of the Internet Multicast Routing Architecture,2008-02-01 00:32:23+00:00,/api/v1/doc/document/draft-ietf-mboned-routingarch/,/api/v1/doc/document/draft-savola-mboned-routingarch/,1,draft-savola-mboned-routingarch,2008
/api/v1/doc/document/rfc5234/,5234,rfc5234,Augmented BNF for Syntax Specifications: ABNF,2008-02-01 01:24:14+00:00,/api/v1/doc/document/draft-crocker-rfc4234bis/,/api/v1/doc/document/draft-crocker-rfc4234bis/,0,draft-crocker-rfc4234bis,2008
/api/v1/doc/document/rfc5117/,5117,rfc5117,RTP Topologies,2008-02-01 01:24:23+00:00,/api/v1/doc/document/draft-ietf-avt-topologies/,/api/v1/doc/document/draft-ietf-avt-topologies/,0,draft-ietf-avt-topologies,2008
/api/v1/doc/document/rfc5117/,5117,rfc5117,RTP Topologies,2008-02-01 01:24:23+00:00,/api/v1/doc/document/draft-ietf-avt-topologies/,/api/v1/doc/document/draft-wenger-avt-topologies/,1,draft-wenger-avt-topologies,2008
/api/v1/doc/document/rfc5176/,5176,rfc5176,Dynamic Authorization Extensions to Remote Authentication Dial In User Service (RADIUS),2008-02-01 01:24:31+00:00,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,0,draft-ietf-radext-rfc3576bis,2008
/api/v1/doc/document/rfc5176/,5176,rfc5176,Dynamic Authorization Extensions to Remote Authentication Dial In User Service (RADIUS),2008-02-01 01:24:31+00:00,/api/v1/doc/document/draft-ietf-radext-rfc3576bis/,/api/v1/doc/document/draft-chiba-radext-rfc3576bis/,1,draft-chiba-radext-rfc3576bis,2008
/api/v1/doc/document/rfc5135/,5135,rfc5135,IP Multicast Requirements for a Network Address Translator (NAT) and a Network Address Port Translator (NAPT),2008-02-07 23:33:31+00:00,/api/v1/doc/document/draft-ietf-behave-multicast/,/api/v1/doc/document/draft-ietf-behave-multicast/,0,draft-ietf-behave-multicast,2008
/api/v1/doc/document/rfc5135/,5135,rfc5135,IP Multicast Requirements for a Network Address Translator (NAT) and a Network Address Port Translator (NAPT),2008-02-07 23:33:31+00:00,/api/v1/doc/document/draft-ietf-behave-multicast/,/api/v1/doc/document/draft-wing-behave-multicast/,1,draft-wing-behave-multicast,2008
/api/v1/doc/document/rfc5107/,5107,rfc5107,DHCP Server Identifier Override Suboption,2008-02-07 23:33:43+00:00,/api/v1/doc/document/draft-ietf-dhc-server-override/,/api/v1/doc/document/draft-ietf-dhc-server-override/,0,draft-ietf-dhc-server-override,2008
/api/v1/doc/document/rfc5118/,5118,rfc5118,Session Initiation Protocol (SIP) Torture Test Messages for Internet Protocol Version 6 (IPv6),2008-02-09 01:23:31+00:00,/api/v1/doc/document/draft-ietf-sipping-ipv6-torture-tests/,/api/v1/doc/document/draft-ietf-sipping-ipv6-torture-tests/,0,draft-ietf-sipping-ipv6-torture-tests,2008
/api/v1/doc/document/rfc5121/,5121,rfc5121,Transmission of IPv6 via the IPv6 Convergence Sublayer over IEEE 802.16 Networks,2008-02-12 19:59:06+00:00,/api/v1/doc/document/draft-ietf-16ng-ipv6-over-ipv6cs/,/api/v1/doc/document/draft-ietf-16ng-ipv6-over-ipv6cs/,0,draft-ietf-16ng-ipv6-over-ipv6cs,2008
