rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,complete_revision_count,first_recorded_submission,last_recorded_submission,family_draft_count,maximum_lineage_depth,final_draft_revision_count,predecessor_revision_count,recorded_development_days
/api/v1/doc/document/rfc5025/,5025,rfc5025,Presence Authorization Rules,2007-12-18 01:02:59+00:00,2007,/api/v1/doc/document/draft-ietf-simple-presence-rules/,1,2007-07-08,2007-07-08,2,1,1,0,163
/api/v1/doc/document/rfc5049/,5049,rfc5049,Applying Signaling Compression (SigComp) to the Session Initiation Protocol (SIP),2007-12-12 23:04:26+00:00,2007,/api/v1/doc/document/draft-ietf-rohc-sigcomp-sip/,1,2007-09-20,2007-09-20,1,0,1,0,83
/api/v1/doc/document/rfc5056/,5056,rfc5056,On the Use of Channel Bindings to Secure Channels,2007-11-17 03:10:11+00:00,2007,/api/v1/doc/document/draft-williams-on-channel-binding/,2,2007-07-26,2007-08-31,2,1,2,0,114
/api/v1/doc/document/rfc5064/,5064,rfc5064,The Archived-At Message Header Field,2007-12-21 22:58:37+00:00,2007,/api/v1/doc/document/draft-duerst-archived-at/,3,2007-07-07,2007-08-20,1,0,3,0,167
/api/v1/doc/document/rfc5079/,5079,rfc5079,Rejecting Anonymous Requests in the Session Initiation Protocol (SIP),2007-12-18 01:03:17+00:00,2007,/api/v1/doc/document/draft-ietf-sip-acr-code/,1,2007-07-05,2007-07-05,2,1,1,0,166
/api/v1/doc/document/rfc5082/,5082,rfc5082,The Generalized TTL Security Mechanism (GTSM),2007-10-31 22:53:05+00:00,2007,/api/v1/doc/document/draft-ietf-rtgwg-rfc3682bis/,1,2007-06-25,2007-06-25,1,0,1,0,128
/api/v1/doc/document/rfc5083/,5083,rfc5083,Cryptographic Message Syntax (CMS) Authenticated-Enveloped-Data Content Type,2007-11-30 21:09:49+00:00,2007,/api/v1/doc/document/draft-ietf-smime-cms-auth-enveloped/,1,2007-09-21,2007-09-21,1,0,1,0,70
/api/v1/doc/document/rfc5084/,5084,rfc5084,Using AES-CCM and AES-GCM Authenticated Encryption in the Cryptographic Message Syntax (CMS),2007-11-30 21:09:51+00:00,2007,/api/v1/doc/document/draft-ietf-smime-cms-aes-ccm-and-gcm/,1,2007-09-20,2007-09-20,1,0,1,0,71
/api/v1/doc/document/rfc5085/,5085,rfc5085,Pseudowire Virtual Circuit Connectivity Verification (VCCV): A Control Channel for Pseudowires,2007-12-21 22:58:46+00:00,2007,/api/v1/doc/document/draft-ietf-pwe3-vccv/,1,2007-09-21,2007-09-21,1,0,1,0,91
/api/v1/doc/document/rfc5092/,5092,rfc5092,IMAP URL Scheme,2007-11-20 01:49:38+00:00,2007,/api/v1/doc/document/draft-ietf-lemonade-rfc2192bis/,2,2007-07-28,2007-08-08,1,0,2,0,115
