publication_year,rfc_count,minimum,q1,median,q3,maximum,mean
2007,13,1,1.0,1.0,2.0,3,1.4615384615384615
2008,195,1,1.5,2.0,4.0,17,3.056410256410256
2009,254,1,3.0,5.0,7.0,17,5.149606299212598
2010,318,1,4.0,6.0,9.0,27,7.147798742138365
2011,372,1,5.0,8.0,11.0,81,8.89516129032258
2012,333,1,6.0,9.0,13.0,34,10.003003003003004
2013,273,1,7.0,10.0,13.0,36,10.523809523809524
2014,321,1,8.0,11.0,15.0,34,11.85981308411215
2015,300,2,9.0,12.0,18.0,47,13.796666666666667
2016,310,2,8.0,12.0,16.0,42,12.538709677419355
2017,260,3,8.0,13.0,18.0,38,13.757692307692308
2018,206,1,10.0,14.0,18.75,40,14.669902912621358
2019,178,2,11.0,14.0,21.0,60,15.99438202247191
2020,207,2,10.0,15.0,20.0,60,15.51207729468599
2021,239,3,12.0,17.0,23.5,56,18.778242677824267
2022,192,2,12.0,16.0,21.0,52,17.427083333333332
2023,170,3,12.0,17.0,22.0,64,18.058823529411764
2024,174,3,11.0,17.0,25.0,63,18.79310344827586
2025,207,3,12.0,19.0,25.0,61,19.903381642512077
