publication_year,rfc_count,minimum,q1,median,q3,maximum,mean
2001,184,1,3.0,5.0,7.0,19,5.2771739130434785
2002,213,1,3.0,5.0,8.0,21,5.793427230046948
2003,229,1,4.0,6.0,9.0,30,6.908296943231441
2004,280,1,4.0,6.0,9.0,25,6.9071428571428575
2005,326,1,4.0,7.0,9.0,25,7.371165644171779
2006,458,1,5.0,7.0,10.0,35,8.063318777292576
2007,318,1,5.0,7.0,10.0,50,8.29874213836478
2008,286,1,6.0,8.0,12.0,31,9.185314685314685
2009,283,1,6.0,9.0,13.0,28,9.724381625441696
2010,361,1,6.0,10.0,13.0,39,10.398891966759003
2011,386,1,7.0,10.0,14.75,95,11.119170984455959
2012,336,1,7.0,11.0,15.0,35,11.330357142857142
2013,273,1,7.0,10.0,14.0,36,11.241758241758241
2014,321,1,8.0,12.0,16.0,35,12.5202492211838
2015,300,2,9.0,13.0,18.25,47,14.113333333333333
2016,310,2,8.0,12.0,16.0,42,12.793548387096774
2017,260,3,8.0,13.0,18.0,39,13.88076923076923
2018,206,1,10.0,14.0,18.75,40,14.70873786407767
2019,178,2,11.0,14.0,21.0,60,16.05056179775281
2020,207,2,10.0,15.0,20.0,60,15.63768115942029
2021,239,3,12.0,17.0,23.5,56,18.820083682008367
2022,192,2,12.0,16.0,21.0,52,17.447916666666668
2023,170,3,12.0,17.0,22.0,64,18.08823529411765
2024,174,3,11.0,17.0,25.0,63,18.798850574712645
2025,207,3,12.5,19.0,25.0,61,19.946859903381643
