publication_year,rfc_count,minimum,q1,median,q3,maximum,mean
2007,13,1,1.0,1.0,2.0,3,1.4615384615384615
2008,195,1,1.0,2.0,4.0,17,3.051282051282051
2009,254,1,3.0,5.0,7.0,14,4.929133858267717
2010,318,1,4.0,6.0,9.0,27,6.644654088050315
2011,372,1,4.0,7.0,10.0,24,7.75
2012,333,1,6.0,8.0,11.0,32,8.762762762762764
2013,273,1,6.0,9.0,11.0,30,9.117216117216117
2014,321,1,6.0,9.0,12.0,28,9.813084112149532
2015,300,1,7.0,10.0,14.0,42,11.23
2016,310,2,6.0,8.5,12.0,42,9.738709677419354
2017,260,2,7.0,10.0,14.0,30,10.834615384615384
2018,206,1,7.0,11.0,14.0,29,11.281553398058252
2019,178,2,8.0,11.0,16.0,53,12.539325842696629
2020,207,1,7.0,11.0,16.5,42,12.067632850241546
2021,239,2,9.0,13.0,19.0,55,15.0418410041841
2022,192,2,9.0,13.0,18.0,47,14.369791666666666
2023,170,2,9.0,13.0,17.0,38,13.923529411764706
2024,174,3,8.0,12.0,17.0,50,14.057471264367816
2025,207,3,10.0,14.0,19.0,52,15.434782608695652
