publication_year,Cisco,Huawei,Ericsson,Juniper,Nokia,Microsoft,Google,Alcatel,Oracle,AT&T,Academia,Other
2001,47,0,7,9,6,9,0,1,9,2,14,256
2002,36,0,17,2,13,12,0,5,6,14,20,243
2003,45,0,15,8,11,11,0,1,11,10,20,253
2004,44,0,14,2,15,10,0,3,9,3,23,253
2005,50,0,16,4,15,17,0,7,5,11,33,318
2006,93,2,24,11,21,17,2,7,10,12,28,378
2007,72,1,21,11,13,11,4,9,4,5,25,291
2008,64,5,14,10,23,12,2,6,5,6,31,289
2009,65,12,16,8,11,3,7,10,6,8,50,272
2010,66,16,24,11,17,9,7,18,4,8,46,335
2011,93,24,31,17,15,5,15,22,2,7,47,349
2012,83,31,21,15,18,9,10,17,5,10,46,290
2013,82,30,15,15,7,5,12,9,7,7,36,282
2014,71,41,22,8,8,10,12,11,1,4,38,297
2015,78,37,28,18,3,10,15,4,8,10,44,297
2016,84,44,26,17,11,6,22,1,9,2,50,333
2017,61,36,18,22,12,12,7,1,6,3,38,289
2018,46,41,11,18,9,6,20,0,3,5,39,231
2019,52,32,16,21,9,4,8,0,6,4,33,190
2020,51,30,14,15,7,3,16,1,2,5,41,248
2021,39,37,21,14,9,3,20,1,2,7,43,238
2022,32,31,18,6,12,4,16,0,1,2,33,229
2023,32,22,10,11,12,5,7,0,0,0,41,238
2024,21,26,13,12,10,1,17,0,1,2,33,217
2025,37,28,9,26,11,1,24,0,1,2,35,236
