lineage_id,lineage_root_drafts,lineage_terminal_drafts,lineage_members,lineage_length,branching_lineage,merging_lineage,lineage_revision_count,lineage_first_submission,lineage_last_submission,lineage_activity_duration_days,lineage_activity_duration_years,observation_days,inactivity_days,lineage_became_rfc,rfc_count,rfc_names,first_rfc_publication,publication_outcome,wg_status,wg_count,wg_names,area_names,rq2_clean_single_wg,rfc_streams,rfc_index_wgs,rfc_index_areas,author_count,organisation_count,organisation_names,cross_organisation,affiliation_alias_matched_records,affiliation_multi_organisation_records,affiliation_unmatched_records,affiliation_missing_records,affiliation_non_organisational_records,wg_assignment
draft--remi-despres--ipv6-rapid-deployment-,draft--remi-despres--ipv6-rapid-deployment-,draft--remi-despres--ipv6-rapid-deployment-,draft--remi-despres--ipv6-rapid-deployment-,1,False,False,1,2008-02-08,2008-02-08,0.0,0.0,6693.0,6693.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,1,0,0,No recorded WG
draft-3gpp-collaboration,draft-3gpp-collaboration,draft-3gpp-collaboration,draft-3gpp-collaboration,1,False,False,0,,,,,,,1,1,rfc3113,2001-06-01 07:00:00+00:00,Successful,No recorded WG,0,,,False,Legacy,,,4,2,AT&T; Ericsson,True,2,0,1,1,0,No recorded WG
draft-3k1n-6tisch-alice0,draft-3k1n-6tisch-alice0,draft-3k1n-6tisch-alice0,draft-3k1n-6tisch-alice0,1,False,False,2,2016-12-15,2016-12-15,0.0,0.0,3460.0,3460.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,4,0,,False,0,0,4,0,0,No recorded WG
draft-451-imp-report,draft-451-imp-report,draft-451-imp-report,draft-451-imp-report,1,False,False,1,2017-07-17,2017-07-17,0.0,0.0,3246.0,3246.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,7,1,Cisco,False,1,0,6,0,0,No recorded WG
draft-451-new-protocol-elements,draft-451-new-protocol-elements,draft-sahib-451-new-protocol-elements,draft-451-new-protocol-elements; draft-sahib-451-new-protocol-elements,2,False,False,6,2017-10-24,2018-08-01,281.0,0.7693360711841205,3147.0,2866.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,2,0,No recorded WG
draft-6man-pmip6-ind,draft-6man-pmip6-ind,draft-6man-pmip6-ind,draft-6man-pmip6-ind,1,False,False,1,2009-03-02,2009-03-02,0.0,0.0,6305.0,6305.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,1,0,No recorded WG
draft-6man-udpzero,draft-6man-udpzero,draft-6man-udpzero,draft-6man-udpzero,1,False,False,1,2010-05-08,2010-05-08,0.0,0.0,5873.0,5873.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,2,1,Ericsson,False,1,0,1,0,0,No recorded WG
draft-6tisch-enrollment-enhanced-beacon,draft-6tisch-enrollment-enhanced-beacon,draft-6tisch-enrollment-enhanced-beacon,draft-6tisch-enrollment-enhanced-beacon,1,False,False,1,2018-07-16,2018-07-16,0.0,0.0,2882.0,2882.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,2,0,,False,0,0,2,0,0,No recorded WG
draft-7996-bis,draft-7996-bis,draft-7996-bis,draft-7996-bis,1,False,False,1,2017-12-12,2017-12-12,0.0,0.0,3098.0,3098.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,1,0,0,No recorded WG
draft-aanchal-time-implementation-guidance,draft-aanchal-time-implementation-guidance,draft-ietf-ntp-implementation-guidance,draft-aanchal-time-implementation-guidance; draft-ietf-ntp-implementation-guidance,2,False,False,4,2017-10-30,2019-11-19,750.0,2.053388090349076,3141.0,2391.0,0,0,,,Unsuccessful,Single WG,1,ntp,int,True,,,,4,0,,False,0,0,8,0,0,Recorded WG
