draft_name,document_found,recorded_group_name,recorded_group_acronym,recorded_group_type,is_recorded_wg,is_individual_submissions,filename_wg_candidates
draft--pale-email,1,Individual Submissions,none,individ,0,1,
draft--remi-despres--ipv6-rapid-deployment-,1,Individual Submissions,none,individ,0,1,ipv6
draft-3gpp-collaboration,1,Individual Submissions,none,individ,0,1,
draft-3k1n-6tisch-alice0,1,Individual Submissions,none,individ,0,1,6tisch
draft-451-imp-report,1,Individual Submissions,none,individ,0,1,
draft-451-new-protocol-elements,1,Individual Submissions,none,individ,0,1,
draft-6man-pmip6-ind,1,Individual Submissions,none,individ,0,1,6man
draft-6man-udpzero,1,Individual Submissions,none,individ,0,1,6man
draft-6tisch-enrollment-enhanced-beacon,1,Individual Submissions,none,individ,0,1,6tisch
draft-7996-bis,1,Individual Submissions,none,individ,0,1,
draft-a2a-moqt-transport,1,Individual Submissions,none,individ,0,1,
draft-aa-ldp-link-shut,1,Individual Submissions,none,individ,0,1,
draft-aa-mpls-ldp-link-shut,1,Individual Submissions,none,individ,0,1,mpls
draft-aanchal-time-implementation-guidance,1,Network Time Protocols,ntp,wg,1,0,
draft-aanchal4-ntp-mac,1,Network Time Protocols,ntp,wg,1,0,ntp
draft-aap-oauth-profile,1,Individual Submissions,none,individ,0,1,oauth
draft-aaron-acme-ari,1,Individual Submissions,none,individ,0,1,acme
draft-aaron-acme-profiles,1,Automated Certificate Management Environment,acme,wg,1,0,acme
draft-aartsetuijn-nipst,1,Individual Submissions,none,individ,0,1,
draft-aayadi-6lowpan-tcphc,1,Individual Submissions,none,individ,0,1,6lowpan
draft-aazam-cdni-inter-cloud-architecture,1,Individual Submissions,none,individ,0,1,cdni
draft-abad-i2nsf-sdn-ipsec-flow-protection,1,Interface to Network Security Functions,i2nsf,wg,1,0,i2nsf;ipsec
draft-abad-sdnrg-sdn-ipsec-flow-protection,1,Individual Submissions,none,individ,0,1,ipsec
draft-abade-xcast20-routing-engine-spec,1,Individual Submissions,none,individ,0,1,
draft-abarbanel-idr-bgp4-te,1,Individual Submissions,none,individ,0,1,idr
draft-abaris-aicdh,1,Individual Submissions,none,individ,0,1,
draft-abaris-json-dcm,1,Individual Submissions,none,individ,0,1,json
draft-abarth-cake,1,Individual Submissions,none,individ,0,1,
draft-abarth-cookie,1,Individual Submissions,none,individ,0,1,
draft-abarth-mime-sniff,1,Individual Submissions,none,individ,0,1,
draft-abarth-origin,1,Individual Submissions,none,individ,0,1,
draft-abarth-principles-of-origin,1,Individual Submissions,none,individ,0,1,
draft-abarth-thewebsocketprotocol,1,Individual Submissions,none,individ,0,1,
draft-abarth-url,1,Individual Submissions,none,individ,0,1,
draft-abarth-websocket-handshake,1,Individual Submissions,none,individ,0,1,
draft-abbey-scim-agent-extension,1,Individual Submissions,none,individ,0,1,scim
draft-abbott-mcp-ax,1,Individual Submissions,none,individ,0,1,
draft-abd-mpls-ldp-identifier-name,1,Individual Submissions,none,individ,0,1,mpls
draft-abdelsalam-rtgwg-ipfrr-bgp-only-network,1,Individual Submissions,none,individ,0,1,bgp;rtgwg
draft-abdo-hostid-tcpopt-implementation,1,Individual Submissions,none,individ,0,1,
draft-abeille-netlmm-proxymip6ro,1,Individual Submissions,none,individ,0,1,netlmm
draft-abel-nfc-urn,1,Applications Area,app,area,0,0,urn
draft-abel-vbas,1,Individual Submissions,none,individ,0,1,
draft-abela-ulm,1,Individual Submissions,none,individ,0,1,
draft-abela-utf9,1,Individual Submissions,none,individ,0,1,
draft-abfb-mpls-tp-control-plane-framework,1,Individual Submissions,none,individ,0,1,mpls
draft-abhattacharya-bess-l2vpn-ipv6-remotepe,1,Individual Submissions,none,individ,0,1,bess;ipv6;l2vpn
draft-abhattacharya-l2vpn-signaling-ipv6-remotepe,1,Individual Submissions,none,individ,0,1,ipv6;l2vpn
draft-abhi-covert,1,Individual Submissions,none,individ,0,1,
draft-abhi-eap-radius,1,Individual Submissions,none,individ,0,1,eap;radius
draft-abhishek-coin-xr-edge-cloud,1,Individual Submissions,none,individ,0,1,
draft-abhishek-mmusic-overlay-grouping,1,Individual Submissions,none,individ,0,1,mmusic
draft-abhishek-mmusic-superimposition-grouping,1,Individual Submissions,none,individ,0,1,mmusic
draft-abhishek-refer-to-event-parameter,1,Individual Submissions,none,individ,0,1,
draft-abid-eap-osfr,1,Individual Submissions,none,individ,0,1,eap
draft-abiggs-saag-key-management-service,1,Individual Submissions,none,individ,0,1,
draft-abiggs-saag-primitives-for-conf-group-comms,1,Individual Submissions,none,individ,0,1,
draft-abilash-quic-network,1,Individual Submissions,none,individ,0,1,quic
draft-abinabraham-vrrp-unicast,1,Individual Submissions,none,individ,0,1,vrrp
draft-abiri-cpfp,1,Individual Submissions,none,individ,0,1,
draft-aboba-802-context,1,Individual Submissions,none,individ,0,1,
draft-aboba-acct,1,"Authentication, Authorization and Accounting",aaa,wg,1,0,acct
draft-aboba-avtcore-hevc-webrtc,1,Audio/Video Transport Core Maintenance,avtcore,wg,1,0,avtcore
draft-aboba-avtcore-quic-multiplexing,1,Individual Submissions,none,individ,0,1,avtcore;quic
draft-aboba-avtcore-rfc7983bis,1,Audio/Video Transport Core Maintenance,avtcore,wg,1,0,avtcore
draft-aboba-avtcore-sfu-rtp,1,Individual Submissions,none,individ,0,1,avtcore
draft-aboba-context-802,1,Individual Submissions,none,individ,0,1,
draft-aboba-dhc-domsearch,1,Individual Submissions,none,individ,0,1,dhc
draft-aboba-dhc-mdns-conf,1,Individual Submissions,none,individ,0,1,dhc
draft-aboba-dhc-mini,1,Individual Submissions,none,individ,0,1,dhc
draft-aboba-dhc-nad-ipv4,1,Individual Submissions,none,individ,0,1,dhc
draft-aboba-dnsext-mdns,1,Individual Submissions,none,individ,0,1,dnsext
draft-aboba-dynradius,1,Individual Submissions,none,individ,0,1,
draft-aboba-ieee802-rel,1,Individual Submissions,none,individ,0,1,
