rfc_name,rfc_date,rfc_stream,rfc_wg,rfc_area,lineage_id,final_draft,final_draft_name,draft_members
RFC3113,2001-06-01,Legacy,,,lineage_000003,draft-3gpp-collaboration-01,draft-3gpp-collaboration,draft-3gpp-collaboration
RFC6936,2013-04-01,IETF,6man,int,lineage_000008,draft-ietf-6man-udpzero-12,draft-ietf-6man-udpzero,draft-6man-udpzero;draft-fairhurst-tsvwg-6man-udpzero;draft-ietf-6man-udpzero
RFC8573,2019-06-01,IETF,ntp,int,lineage_000015,draft-ietf-ntp-mac-06,draft-ietf-ntp-mac,draft-aanchal4-ntp-mac;draft-ietf-ntp-mac
RFC9773,2025-06-01,IETF,acme,sec,lineage_000017,draft-ietf-acme-ari-08,draft-ietf-acme-ari,draft-aaron-acme-ari;draft-ietf-acme-ari
RFC9061,2021-07-01,IETF,i2nsf,sec,lineage_000022,draft-ietf-i2nsf-sdn-ipsec-flow-protection-14,draft-ietf-i2nsf-sdn-ipsec-flow-protection,draft-abad-i2nsf-sdn-ipsec-flow-protection;draft-ietf-i2nsf-sdn-ipsec-flow-protection
RFC4729,2006-11-01,IETF,NON WORKING GROUP,,lineage_000042,draft-abel-nfc-urn-00,draft-abel-nfc-urn,draft-abel-nfc-urn
RFC6373,2011-09-01,IETF,ccamp,rtg,lineage_000046,draft-ietf-ccamp-mpls-tp-cp-framework-06,draft-ietf-ccamp-mpls-tp-cp-framework,draft-abfb-mpls-tp-control-plane-framework;draft-ietf-ccamp-mpls-tp-cp-framework
RFC9443,2023-07-01,IETF,avtcore,wit,lineage_000063,draft-ietf-avtcore-rfc7983bis-09,draft-ietf-avtcore-rfc7983bis,draft-aboba-avtcore-rfc7983bis;draft-ietf-avtcore-rfc7983bis
RFC3397,2002-11-01,IETF,NON WORKING GROUP,,lineage_000066,draft-aboba-dhc-domsearch-09,draft-aboba-dhc-domsearch,draft-aboba-dhc-domsearch
RFC4795,2007-01-01,IETF,dnsext,int,lineage_000070,draft-ietf-dnsext-mdns-47,draft-ietf-dnsext-mdns,draft-aboba-dnsext-mdns;draft-ietf-dnsext-mdns
RFC5247,2008-08-01,IETF,eap,int,lineage_000081,draft-ietf-eap-keying-22,draft-ietf-eap-keying,draft-aboba-pppext-key-problem;draft-ietf-eap-keying
RFC5080,2007-12-01,IETF,radext,sec,lineage_000082,draft-ietf-radext-fixes-08,draft-ietf-radext-fixes,draft-aboba-radext-fixes;draft-ietf-radext-fixes
RFC7268,2014-07-01,IETF,radext,sec,lineage_000083,draft-ietf-radext-ieee802ext-12,draft-ietf-radext-ieee802ext,draft-aboba-radext-wlan;draft-congdon-radext-ieee802;draft-ietf-radext-ieee802;draft-ietf-radext-ieee802ext
RFC3575,2003-07-01,IETF,NON WORKING GROUP,,lineage_000085,draft-aboba-radius-iana-07,draft-aboba-radius-iana,draft-aboba-radius-iana
RFC3162,2001-08-01,Legacy,,,lineage_000086,draft-aboba-radius-ipv6-10,draft-aboba-radius-ipv6,draft-aboba-radius-ipv6
RFC3579,2003-09-01,IETF,NON WORKING GROUP,,lineage_000087,draft-aboba-radius-rfc2869bis-22,draft-aboba-radius-rfc2869bis,draft-aboba-radius-rfc2869bis
RFC5111,2008-01-01,IETF,NON WORKING GROUP,,lineage_000093,draft-aboba-sg-experiment-04,draft-aboba-sg-experiment,draft-aboba-sg-experiment
RFC3475,2003-04-01,IETF,NON WORKING GROUP,,lineage_000099,draft-aboulmagd-ccamp-crldp-ason-ext-02,draft-aboulmagd-ccamp-crldp-ason-ext,draft-aboulmagd-ccamp-crldp-ason-ext
RFC4394,2006-02-01,IETF,ccamp,rtg,lineage_000100,draft-ietf-ccamp-transport-lmp-02,draft-ietf-ccamp-transport-lmp,draft-aboulmagd-ccamp-transport-lmp;draft-ietf-ccamp-transport-lmp
RFC4115,2005-07-01,INDEPENDENT,,,lineage_000104,draft-aboulmagd-trtcm-inprofile-02,draft-aboulmagd-trtcm-inprofile,draft-aboulmagd-trtcm-inprofile
RFC7759,2016-02-01,IETF,mpls,rtg,lineage_000112,draft-ietf-mpls-lsp-ping-mpls-tp-oam-conf-16,draft-ietf-mpls-lsp-ping-mpls-tp-oam-conf,draft-absw-mpls-lsp-ping-mpls-tp-oam-conf;draft-ietf-mpls-lsp-ping-mpls-tp-oam-conf
RFC9825,2025-07-01,IETF,lsr,rtg,lineage_000116,draft-ietf-lsr-ospf-admin-tags-29,draft-ietf-lsr-ospf-admin-tags,draft-acee-lsr-ospf-admin-tags;draft-acee-ospf-admin-tags;draft-ietf-lsr-ospf-admin-tags
RFC9587,2024-06-01,IETF,lsr,rtg,lineage_000119,draft-ietf-lsr-ospfv3-extended-lsa-yang-29,draft-ietf-lsr-ospfv3-extended-lsa-yang,draft-acee-lsr-ospfv3-extended-lsa-yang;draft-ietf-lsr-ospfv3-extended-lsa-yang
RFC8349,2018-03-01,IETF,netmod,ops,lineage_000122,draft-ietf-netmod-rfc8022bis-11,draft-ietf-netmod-rfc8022bis,draft-acee-netmod-rfc8022bis;draft-ietf-netmod-rfc8022bis
RFC6549,2012-03-01,IETF,ospf,rtg,lineage_000125,draft-ietf-ospf-multi-instance-09,draft-ietf-ospf-multi-instance,draft-acee-ospf-multi-instance;draft-ietf-ospf-multi-instance
RFC7503,2015-04-01,IETF,ospf,rtg,lineage_000126,draft-ietf-ospf-ospfv3-autoconfig-15,draft-ietf-ospf-ospfv3-autoconfig,draft-acee-ospf-ospfv3-autoconfig;draft-ietf-ospf-ospfv3-autoconfig
RFC7770,2016-02-01,IETF,ospf,rtg,lineage_000128,draft-ietf-ospf-rfc4970bis-07,draft-ietf-ospf-rfc4970bis,draft-acee-ospf-rfc4970bis;draft-ietf-ospf-rfc4970bis
RFC7166,2014-03-01,IETF,ospf,rtg,lineage_000129,draft-ietf-ospf-rfc6506bis-05,draft-ietf-ospf-rfc6506bis,draft-acee-ospf-rfc6506bis;draft-ietf-ospf-rfc6506bis
