affiliation_raw,count,percentage
Cisco Systems,6212,6.845
Huawei,3684,4.06
Huawei Technologies,3249,3.58
Ericsson,2483,2.736
Cisco,2409,2.655
China Mobile,1980,2.182
Juniper Networks,1978,2.18
Nokia,1364,1.503
ZTE Corporation,1154,1.272
Microsoft,883,0.973
China Telecom,883,0.973
Google,873,0.962
Tsinghua University,736,0.811
Orange,652,0.718
"Cisco Systems, Inc.",610,0.672
Alcatel-Lucent,593,0.653
Nortel Networks,490,0.54
France Telecom,434,0.478
Verizon,385,0.424
China Unicom,379,0.418
Futurewei,377,0.415
NTT,373,0.411
Independent,365,0.402
Sun Microsystems,363,0.4
Telefonica,349,0.385
AT&T,346,0.381
ETRI,317,0.349
ZTE,315,0.347
New H3C Technologies,313,0.345
IBM,312,0.344
Microsoft Corporation,311,0.343
Comcast,310,0.342
Nokia Siemens Networks,301,0.332
Mozilla,291,0.321
CNNIC,290,0.32
Deutsche Telekom,282,0.311
Apple Inc.,268,0.295
ICANN,262,0.289
Alcatel,254,0.28
BT,235,0.259
"Huawei Technologies Co., Ltd",232,0.256
Juniper,230,0.253
Lucent Technologies,221,0.244
Huawei USA,220,0.242
NEC,216,0.238
Cloudflare,211,0.233
AT&T Labs,202,0.223
Consultant,200,0.22
Oracle,194,0.214
Individual,194,0.214
UC3M,193,0.213
Old Dog Consulting,190,0.209
Google LLC,189,0.208
Ericsson AB,184,0.203
Columbia University,183,0.202
"Google, Inc.",181,0.199
Universitaet Bremen TZI,180,0.198
Intel,178,0.196
Ciena,166,0.183
Telecom Italia,163,0.18
INRIA,161,0.177
Futurewei Technologies,161,0.177
Motorola,159,0.175
HPE,156,0.172
Siemens,155,0.171
Deutsche Telekom AG,153,0.169
Nortel,153,0.169
ZTE Corp.,152,0.167
Avaya,151,0.166
APNIC,150,0.165
CableLabs,145,0.16
ISC,144,0.159
Sandelman Software Works,142,0.156
"VeriSign, Inc.",141,0.155
Zhongguancun Laboratory,141,0.155
Soongsil University,139,0.153
dynamicsoft,136,0.15
Unaffiliated,135,0.149
Broadcom,133,0.147
Editor,132,0.145
The MITRE Corporation,132,0.145
Bell Canada,130,0.143
Nokia Research Center,126,0.139
cisco Systems,125,0.138
Vigil Security,125,0.138
BUPT,123,0.136
NetApp,123,0.136
Swisscom,121,0.133
University of Aberdeen,120,0.132
Viagenie,119,0.131
Fraunhofer SIT,119,0.131
Verizon Inc.,118,0.13
Akamai Technologies,117,0.129
Beijing Jiaotong University,117,0.129
ETH Zurich,115,0.127
Universität Bremen TZI,113,0.125
Fastly,110,0.121
Red Hat,108,0.119
Columbia U.,108,0.119
NIST,107,0.118
Qualcomm,107,0.118
Ping Identity,106,0.117
Yale University,105,0.116
"Huawei Technologies Co., Ltd.",104,0.115
CAICT,103,0.114
Arrcus,101,0.111
Isode Ltd,101,0.111
Apple,101,0.111
NLnet Labs,100,0.11
Arista Networks,99,0.109
University of Glasgow,98,0.108
"Juniper Networks, Inc.",98,0.108
NTT Communications,98,0.108
MIT,97,0.107
USC/ISI,97,0.107
Beijing University of Posts and Telecommunications,97,0.107
BBN Technologies,96,0.106
Painless Security,93,0.102
RIPE NCC,92,0.101
NeuStar,91,0.1
UCLouvain,90,0.099
VPN Consortium,89,0.098
Fujitsu,89,0.098
ISI,88,0.097
Cisco Systems Inc.,87,0.096
Panasonic,85,0.094
Facebook,85,0.094
Intel Corporation,84,0.093
Ciena Corporation,82,0.09
Juniper Networks Inc.,81,0.089
RISE AB,81,0.089
National Security Agency,80,0.088
Isode Limited,80,0.088
NICT,80,0.088
University of Oslo,80,0.088
Stanford University,79,0.087
"Google, Inc",79,0.087
lispers.net,79,0.087
IMT Atlantique,79,0.087
Aalto University,78,0.086
"Apple, Inc.",78,0.086
Keio University,77,0.085
UCLA,77,0.085
Redback Networks,77,0.085
Brocade,77,0.085
Meta,77,0.085
Akamai,76,0.084
Salesforce,76,0.084
Oracle Corporation,75,0.083
Verisign Labs,75,0.083
"Cisco Systems, Inc",74,0.082
IBM Corporation,73,0.08
Individual Contributor,73,0.08
Acme Packet,72,0.079
Univ. of Auckland,70,0.077
Samsung,70,0.077
Universidad Carlos III de Madrid,70,0.077
INSA-Lyon,70,0.077
Siemens AG,69,0.076
NEC Europe Ltd.,69,0.076
Ericsson Research,69,0.076
"Arrcus, Inc.",69,0.076
"Vigil Security, LLC",69,0.076
University College London,68,0.075
Xerox Corporation,68,0.075
Infinera,68,0.075
Tencent,68,0.075
Alibaba Group,67,0.074
HTT Consulting,67,0.074
Toshiba,66,0.073
sn3rd,66,0.073
Dell,65,0.072
Internet Systems Consortium,65,0.072
Arm Limited,65,0.072
LinkedIn,64,0.071
Telefonica I+D,63,0.069
Nvidia,63,0.069
Trinity College Dublin,62,0.068
"LIX, Ecole Polytechnique",62,0.068
Network Zen,62,0.068
"LabN Consulting, L.L.C.",62,0.068
IECA,61,0.067
Polycom,61,0.067
France Telecom Orange,61,0.067
Chongqing University of,61,0.067
Harvard University,60,0.066
KT,60,0.066
Marvell,60,0.066
IIT Madras,60,0.066
University of Murcia,59,0.065
BBN,59,0.065
Hewlett-Packard,59,0.065
HAW Hamburg,59,0.065
Andrew Corporation,59,0.065
Check Point,58,0.064
"RTFM, Inc.",58,0.064
CERNET Center/Tsinghua University,58,0.064
Internet Initiative Japan,58,0.064
Verisign,58,0.064
Acklio,57,0.063
InterDigital Communications,57,0.063
Inria,57,0.063
KDDI Corporation,57,0.063
Vodafone,57,0.063
VMware,57,0.063
Comodo Group Inc.,56,0.062
Brandenburg InternetWorking,56,0.062
Apple Inc,56,0.062
Tail-f Systems,56,0.062
ELVIS-PLUS,55,0.061
Okta,55,0.061
greenbytes,54,0.06
Google Inc.,54,0.06
Amazon,54,0.06
Entrust Limited,54,0.06
InterDigital,53,0.058
UC Berkeley,53,0.058
"Qualcomm, Inc.",53,0.058
Orange Labs,53,0.058
France Telecom R&D,53,0.058
Kyung Hee University,53,0.058
Fastmail,53,0.058
cisco,52,0.057
Telcordia Technologies,52,0.057
CERNET Center/Tsinghua,52,0.057
Private Octopus Inc.,52,0.057
Microsoft Corp.,51,0.056
SoftBank,51,0.056
Tekelec,50,0.055
"NeuStar, Inc.",50,0.055
Innosoft,49,0.054
Bell Labs,49,0.054
Extreme Networks,49,0.054
Sun,49,0.054
Bloomberg LP,48,0.053
University of Cambridge,48,0.053
IP Infusion,48,0.053
Neustar,48,0.053
Samsung Electronics,48,0.053
Cisco Systems Inc,48,0.053
Lancaster University,48,0.053
Starent Networks,48,0.053
Alef Edge,48,0.053
Bay Networks,47,0.052
CISCO,47,0.052
Time Warner Cable,47,0.052
University of Tuebingen,47,0.052
Jacobs University Bremen,47,0.052
Volta Networks,47,0.052
Pengcheng Laboratory,47,0.052
Sungkyunkwan University,46,0.051
Nominum,45,0.05
Netscape Communications Corp.,45,0.05
VeriSign,45,0.05
CTTC,45,0.05
EMC,45,0.05
SJD AB,45,0.05
Ericsson Research NomadicLab,45,0.05
CSC/FUNET,45,0.05
University of Southampton,45,0.05
SI6 Networks,45,0.05
CZ.NIC,45,0.05
Phoenix R&D,45,0.05
Philips Research,44,0.048
IBM Research,44,0.048
Vidyo,44,0.048
"QUALCOMM, Inc.",44,0.048
Taughannock Networks,44,0.048
Grotto Networking,44,0.048
Carnegie Mellon University,43,0.047
IAB,43,0.047
Inside Products,43,0.047
"InterDigital Communications, LLC",43,0.047
"AX Enterprize, LLC",43,0.047
The University of Auckland,42,0.046
AT&T Laboratories,42,0.046
Bellcore,42,0.046
JPRS,42,0.046
UCL,42,0.046
LACNIC,42,0.046
NTT Corporation,42,0.046
Zscaler,42,0.046
AX Enterprize,42,0.046
China Academy of Information and Communications Technology,42,0.046
"Nominum, Inc.",41,0.045
University of Twente,41,0.045
TU Braunschweig,41,0.045
Tsinghua Univ.,41,0.045
University of Stuttgart,41,0.045
"Arrcus, Inc",41,0.045
Alibaba Inc.,41,0.045
The Johns Hopkins University Applied Physics Laboratory,41,0.045
"Novell, Inc.",40,0.044
ATT,40,0.044
RAD Data Communications,40,0.044
EMC Corporation,40,0.044
Sprint,40,0.044
Soaring Hawk Consulting,40,0.044
University of Washington,39,0.043
"Verisign, Inc.",39,0.043
TNO,39,0.043
Adobe,39,0.043
Universite catholique de Louvain,39,0.043
Alcatel-Lucent Bell Labs,39,0.043
Huawei Technology,39,0.043
Intuit,39,0.043
"Meta Platforms, Inc.",39,0.043
Jacobs University,38,0.042
Nokia Bell Labs,38,0.042
Johns Hopkins Applied Physics Laboratory,38,0.042
Department of Computer Science and Engineering,38,0.042
Entrust,37,0.041
Hickory Hill Consulting,37,0.041
AWS,37,0.041
Microsoft Research,37,0.041
Skype,37,0.041
SAMSUNG Electronics,37,0.041
The IPv6 Company,37,0.041
Casa Systems,37,0.041
ZDNS,37,0.041
Ericsson Inc.,36,0.04
Independent Consultant,36,0.04
Bell Laboratories,36,0.04
ARIN,36,0.04
Alibaba,36,0.04
Boeing Research & Technology,36,0.04
Linaro,36,0.04
University of California,35,0.039
YumaWorks,35,0.039
"SPARTA, Inc.",35,0.039
NEC Corporation,35,0.039
secunet Security Networks AG,35,0.039
Broadcom Corporation,35,0.039
CATR,35,0.039
Southeast University,35,0.039
University of Patras,35,0.039
"Cloudflare, Inc.",35,0.039
Veridom Ltd,35,0.039
"CEA, LIST",34,0.037
University of Napoli,34,0.037
CEA,34,0.037
KISA,34,0.037
MTI Systems,34,0.037
ARM Ltd.,33,0.036
IBM Corp.,33,0.036
Isode Ltd.,33,0.036
W3C,33,0.036
Independent Researcher,33,0.036
Telecom ParisTech,33,0.036
DELL,33,0.036
Watsen Networks,33,0.036
USC,32,0.035
Lulea University of Technology,32,0.035
Internet Society,32,0.035
jdrosen.net,32,0.035
Telchemy,32,0.035
Bridgewater Systems,32,0.035
Zhejiang Gongshang University,32,0.035
FreeRADIUS,32,0.035
BSI,32,0.035
Futurewei Technologies Inc.,32,0.035
Electronics and Telecommunications Research Institute,32,0.035
Hewlett-Packard Company,31,0.034
editor,31,0.034
Tellabs,31,0.034
SSW,31,0.034
Arbor Networks,31,0.034
The Boeing Company,31,0.034
"NetApp, Inc.",31,0.034
Energy Sciences Network,31,0.034
CNIC,31,0.034
"Dyn, Inc.",30,0.033
University of Tennessee,30,0.033
Intel Corp.,30,0.033
Network Appliance,30,0.033
JHU/APL,30,0.033
TeliaSonera,30,0.033
Technical University of Catalonia,30,0.033
LabN,30,0.033
"McAfee, Inc.",30,0.033
Mozilla Corporation,30,0.033
NSRI,30,0.033
Huawei Technologies France S.A.S.U.,30,0.033
"Futurewei Technologies, Inc.",30,0.033
Dell EMC,30,0.033
Quantonium,30,0.033
Five9,30,0.033
Ribose,30,0.033
The Swedish Internet Foundation,30,0.033
Department of Computer Science & Engineering,30,0.033
Merit Network,29,0.032
British Telecom,29,0.032
TU Berlin,29,0.032
Equinix,29,0.032
Telcordia,29,0.032
University of Auckland,29,0.032
Muenster Univ. of Applied Sciences,29,0.032
Muenster Univ. of Appl. Sciences,29,0.032
DENIC eG,29,0.032
Aruba Networks,29,0.032
KDDI R&D Labs,29,0.032
Cloudmark,29,0.032
ARM Limited,29,0.032
Jabil,29,0.032
Infinera Corp,29,0.032
Tongji University,29,0.032
Universitat Politecnica de Catalunya,29,0.032
IIT-CNR/Registro.it,29,0.032
University of Applied Sciences Bonn-Rhein-Sieg,29,0.032
Centec,29,0.032
Hughes LAN Systems,28,0.031
Editors,28,0.031
Naval Research Laboratory,28,0.031
MCI,28,0.031
IMDEA Networks,28,0.031
Siemens Enterprise Communications,28,0.031
ARM,28,0.031
University of Helsinki,28,0.031
Trend Micro,28,0.031
Cryptonector,28,0.031
NTT Communications Corporation,28,0.031
University of Goettingen,28,0.031
Qwilt,28,0.031
NVIDIA,28,0.031
North Carolina State University,28,0.031
CryptoPro,28,0.031
pEp Foundation,28,0.031
audriga,28,0.031
Transmute,28,0.031
RtBrick Inc.,27,0.03
University of Michigan,27,0.03
SNMP Research,27,0.03
Procket Networks,27,0.03
Nuage Networks,27,0.03
Packet Design,27,0.03
IIJ Research Laboratory,27,0.03
Intel Labs,27,0.03
RSA Security,27,0.03
OpenLDAP Foundation,27,0.03
Politecnico di Bari,27,0.03
CDT,27,0.03
Karlstad University,27,0.03
BUPT University,27,0.03
CMCC,27,0.03
"Penango, Inc.",27,0.03
Hewlett Packard Enterprise,27,0.03
Network Time Foundation,27,0.03
Sangmyung University,27,0.03
Lumen Technologies,27,0.03
Sensinode,26,0.029
Netnod,26,0.029
Check Point Software,26,0.029
ICIR,26,0.029
University of Waterloo,26,0.029
Samsung AIT,26,0.029
Plantronics,26,0.029
CERNET,26,0.029
University of Surrey,26,0.029
Kyungpook National University,26,0.029
"Huawei Technologies Co.,Ltd",26,0.029
National Institute of Information and Communications Technology,26,0.029
SIDN Labs,26,0.029
Hammerspace,26,0.029
Beijing Internet Institute,26,0.029
GoDaddy Inc.,26,0.029
"Citrix Systems, Inc.",26,0.029
"Akamai Technologies, Inc.",26,0.029
InterDigital Europe,26,0.029
Lucent,25,0.028
Digital Fountain,25,0.028
ICSI,25,0.028
Cumulus Networks,25,0.028
Andrew,25,0.028
University of Seoul,25,0.028
RWTH Aachen University,25,0.028
Rogers Communications,25,0.028
August Cellars,25,0.028
Asia Pacific Network Information Centre,25,0.028
"Red Hat, Inc.",25,0.028
"Beijing University of Posts and
      Telecommunications",25,0.028
InterDigital Inc.,25,0.028
"ISI, R.C. ATHENA",25,0.028
Catellix,25,0.028
Digital Equipment Corporation,24,0.026
SPYRUS,24,0.026
Boston University,24,0.026
Marconi,24,0.026
Cisco System,24,0.026
Siemens/Roke Manor,24,0.026
Politecnico di Torino,24,0.026
OpenSSH,24,0.026
AFNIC,24,0.026
Infosys Technologies Ltd.,24,0.026
University of Wuerzburg,24,0.026
ZTE USA,24,0.026
Alcatel Lucent,24,0.026
Beijing University of Posts and,24,0.026
Bloomberg,24,0.026
ThresholdSecrets.com,24,0.026
Qualcomm Technologies Inc.,24,0.026
National Institute of Standards and Technology,24,0.026
FastMail,24,0.026
USA National Institute of Standards and Technology,24,0.026
Futurewei Technologies USA,24,0.026
Self-Issued Consulting,24,0.026
NSA,23,0.025
Adobe Systems,23,0.025
University of Delaware,23,0.025
Hitachi,23,0.025
HP,23,0.025
Movaz Networks,23,0.025
Princeton University,23,0.025
Korea Telecom,23,0.025
NTT Software Corporation,23,0.025
Seoul National University,23,0.025
Data Connection Ltd,23,0.025
Thomson Reuters,23,0.025
Cisco Systems GmbH,23,0.025
Google Inc,23,0.025
enum.at,23,0.025
Münster University of Applied Sciences,23,0.025
Impedance Mismatch,23,0.025
Sandvine,23,0.025
Centec Networks,23,0.025
"Google, LLC",23,0.025
RSA Laboratories,22,0.024
Helsinki University of Technology,22,0.024
Universitat Oberta de Catalunya,22,0.024
"Alcatel-Lucent, Inc.",22,0.024
ACIRI,22,0.024
Concordia University/CSE,22,0.024
"Sendmail, Inc.",22,0.024
Telstra,22,0.024
Acreo AB,22,0.024
Consulintel,22,0.024
Booz Allen Hamilton,22,0.024
Fudan University,22,0.024
University of Luxembourg,22,0.024
independent,22,0.024
Yubico,22,0.024
Fastmail US LLC,22,0.024
Institut MINES TELECOM; IMT Atlantique,22,0.024
Amazon Web Services,22,0.024
Internet Assigned Numbers Authority,22,0.024
IPv4 Unicast Extensions Project,22,0.024
"Cloud Software Group Holdings, Inc.",22,0.024
Huawei Int. Pte Ltd,22,0.024
Metaswitch Networks,21,0.023
Vodafone Group,21,0.023
"cisco Systems, Inc.",21,0.023
Apple Computer,21,0.023
ISODE Consortium,21,0.023
Netscape Communications,21,0.023
Tokyo Institute of Technology,21,0.023
Kyoto University,21,0.023
Fujitsu Laboratories of America,21,0.023
BAE Systems ATC,21,0.023
EPFL,21,0.023
Retired,21,0.023
Johns Hopkins University,21,0.023
Nominet,21,0.023
UPC,21,0.023
Huawei Technologies Duesseldorf GmbH,21,0.023
Jisc,21,0.023
Bronze Dragon Consulting,21,0.023
American Civil Liberties Union,21,0.023
UK National Cyber Security Centre,21,0.023
"IRIF, University of Paris-Diderot",20,0.022
T.J. Watson Research Center,20,0.022
UNINETT,20,0.022
Fraunhofer HHI,20,0.022
MITRE,20,0.022
SICS,20,0.022
"Hitachi, Ltd.",20,0.022
Amber Networks,20,0.022
Comcast Cable,20,0.022
Palo Alto Networks,20,0.022
DoCoMo USA Labs,20,0.022
Univ. Goettingen,20,0.022
Kirei AB,20,0.022
Telecom Bretagne,20,0.022
ADVA Optical Networking,20,0.022
Qualcomm Incorporated,20,0.022
Unicamp,20,0.022
KDDI,20,0.022
"Hangzhou H3C Tech. Co., Ltd.",20,0.022
Linden Research,20,0.022
PowerDNS,20,0.022
Everything OPS,20,0.022
IBM Research GmbH,20,0.022
Alibaba Cloud,20,0.022
Jitsi,19,0.021
EICT,19,0.021
Nokia Networks,19,0.021
Brocade Communications,19,0.021
Network Solutions,19,0.021
SUN Microsystems,19,0.021
NAI Labs,19,0.021
Jive Communications,19,0.021
Verizon Communications,19,0.021
Flarion Technologies,19,0.021
eB2Bcom,19,0.021
RFC,19,0.021
Sonus Networks,19,0.021
Azaire Networks,19,0.021
Hitachi Europe,19,0.021
CRYPTO-PRO,19,0.021
Boeing Phantom Works,19,0.021
UTN/FRH,19,0.021
KDDI Lab,19,0.021
Toyota ITC,19,0.021
Dyn,19,0.021
MIT Kerberos Consortium,19,0.021
Infinera Corporation,19,0.021
Ruijie Networks,19,0.021
Softbank,19,0.021
Aalyria Technologies,19,0.021
Sinodun IT,19,0.021
"DigiCert, Inc.",19,0.021
Aiven,19,0.021
Cornell University,18,0.02
Innosoft International,18,0.02
CNRI,18,0.02
FORE Systems,18,0.02
consultant,18,0.02
QUALCOMM,18,0.02
Internet Mail Consortium,18,0.02
BMC Software,18,0.02
ipUnplugged,18,0.02
"Motorola, Inc.",18,0.02
Hewlett-Packard Co.,18,0.02
Ericsson Research Nomadic Lab,18,0.02
Network Resonance,18,0.02
Nominet UK,18,0.02
Comcast Cable Communications,18,0.02
Tata Communications,18,0.02
Netflix,18,0.02
UK CPNI,18,0.02
Universidad Diego Portales,18,0.02
USA NIST,18,0.02
Protocol Labs,18,0.02
Chinese Academy of Sciences,18,0.02
"Apstra, Inc.",18,0.02
ACLU,18,0.02
RISE SICS,18,0.02
School of Electronic Engineering,18,0.02
Xidian University,18,0.02
Wire,18,0.02
arm,18,0.02
CryptoNext Security,18,0.02
MATTR,18,0.02
SandboxAQ,18,0.02
Dover Beach Consulting,17,0.019
Novell,17,0.019
Yahoo,17,0.019
BCBS Michigan,17,0.019
Ohio University,17,0.019
Adobe Systems Incorporated,17,0.019
WIDE Project,17,0.019
Motorola Laboratories,17,0.019
"Neustar, Inc.",17,0.019
SRI International,17,0.019
Fraunhofer FOKUS,17,0.019
Internet2,17,0.019
Panasonic Singapore Labs,17,0.019
Folly Consulting,17,0.019
F5 Networks,17,0.019
NS-Technologies,17,0.019
Boeing,17,0.019
Helsinki Institute for Information,17,0.019
IBM Almaden,17,0.019
RD-IPtech,17,0.019
US NIST,17,0.019
MIT Lincoln Laboratory,17,0.019
Nextworks,17,0.019
Telecom Paris,17,0.019
Cloudflare Inc.,17,0.019
BSD Software Development,17,0.019
NITK Surathkal,17,0.019
Rohan Mahy Consulting Services,17,0.019
The Matrix.org Foundation C.I.C.,17,0.019
Nankai University,17,0.019
Xerox PARC,16,0.018
Entrust Technologies,16,0.018
Sigma Designs,16,0.018
Meetecho,16,0.018
Ascend Communications,16,0.018
Telia Finland,16,0.018
Netscape,16,0.018
"TZI, Universitaet Bremen",16,0.018
Avici Systems,16,0.018
Baltimore Technologies,16,0.018
Bell Labs/Lucent Technologies,16,0.018
DoCoMo Euro-Labs,16,0.018
Aoyama Gakuin University,16,0.018
ECI Telecom,16,0.018
Korea Polytechnic University,16,0.018
Symantec,16,0.018
Northeastern University,16,0.018
Dragon Research Labs,16,0.018
National Digital Switching System Engineering and Technological,16,0.018
Tongji/Yale University,16,0.018
"Internet Systems Consortium, Inc.",16,0.018
BII Group Holdings Ltd.,16,0.018
greenbytes GmbH,16,0.018
CloudFlare Inc.,16,0.018
Bespoke Engineering,16,0.018
Huawei Tech,16,0.018
Barefoot Networks,16,0.018
Department of Software,16,0.018
Department of Electrical and Computer Engineering,16,0.018
ByteDance,16,0.018
"CNIC, CAS",16,0.018
Hikvision,16,0.018
CMU,15,0.017
KAIST,15,0.017
Brandenburg Consulting,15,0.017
Georgia Institute of Technology,15,0.017
"RISEC, AIST",15,0.017
Toshiba R&D Center,15,0.017
MIT LCS,15,0.017
INSIDE Secure,15,0.017
Oryx Mail Systems GmbH,15,0.017
W3C/MIT,15,0.017
Airespace,15,0.017
Mojatatu Networks,15,0.017
Ixia,15,0.017
IMC & VPNC,15,0.017
TID,15,0.017
"WINLAB, Rutgers University",15,0.017
Drexel University,15,0.017
Colorado State University,15,0.017
Simula Metropolitan Centre for Digital Engineering,15,0.017
Jabber Software Foundation,15,0.017
Monash University CTIE,15,0.017
IP Infusion Inc.,15,0.017
University of Amsterdam,15,0.017
Tampere University of Technology,15,0.017
Technical University of Munich,15,0.017
Cygnacom Solutions,15,0.017
Elevate Technologies,15,0.017
Symantec Corporation,15,0.017
Afilias Canada,15,0.017
Cornell U.,15,0.017
Dongguk University,15,0.017
Afilias,15,0.017
Shinkuro Inc.,15,0.017
University of Zagreb,15,0.017
Simula Research Laboratory,15,0.017
PT Taylor Consulting,15,0.017
Big Switch Networks,15,0.017
MINE lab,15,0.017
Skype Technologies S.A.,15,0.017
Sine Nomine,15,0.017
UESTC,15,0.017
Nanjing University,15,0.017
