lineage_id,publication_outcome,lineage_revision_count,lineage_activity_duration_years,lineage_length,wg_assignment,wg_count,author_count,organisation_count,cross_organisation,affiliation_mapped_records,affiliation_unresolved_records
draft--pale-email,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft--remi-despres--ipv6-rapid-deployment-,Unsuccessful,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-3gpp-collaboration,Successful,0,,1,No recorded WG,0,4,2,True,2,2
draft-3k1n-6tisch-alice0,Unsuccessful,2,0.0,1,No recorded WG,0,4,0,False,0,4
draft-451-imp-report,Unsuccessful,1,0.0,1,No recorded WG,0,7,1,False,1,6
draft-451-new-protocol-elements,Unsuccessful,6,0.7693360711841205,2,No recorded WG,0,1,0,False,0,2
draft-6man-pmip6-ind,Unsuccessful,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-6man-udpzero,Unsuccessful,1,0.0,1,No recorded WG,0,2,1,False,1,1
draft-6tisch-enrollment-enhanced-beacon,Unsuccessful,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-7996-bis,Unsuccessful,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-a2a-moqt-transport,Ongoing,2,0.0,2,No recorded WG,0,2,1,False,4,0
draft-aa-ldp-link-shut,Ongoing,2,0.0,1,No recorded WG,0,2,1,False,2,0
draft-aa-mpls-ldp-link-shut,Ongoing,1,0.0,1,No recorded WG,0,2,1,False,2,0
draft-aanchal-time-implementation-guidance,Unsuccessful,4,2.0533880903490758,2,Recorded WG,1,4,0,False,0,8
draft-aanchal4-ntp-mac,Unsuccessful,4,0.29842573579739906,1,Recorded WG,1,2,0,False,0,2
draft-aap-oauth-profile,Ongoing,2,0.013689253935660506,1,No recorded WG,0,1,0,False,0,0
draft-aaron-acme-ari,Ongoing,4,0.840520191649555,1,No recorded WG,0,1,0,False,0,1
draft-aaron-acme-profiles,Ongoing,2,0.5010266940451745,1,Recorded WG,1,1,0,False,0,1
draft-aartsetuijn-nipst,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-aayadi-6lowpan-tcphc,Unsuccessful,1,0.0,1,No recorded WG,0,3,0,False,0,3
draft-aazam-cdni-inter-cloud-architecture,Unsuccessful,4,1.4674880219028064,1,No recorded WG,0,1,0,False,0,1
draft-abad-i2nsf-sdn-ipsec-flow-protection,Unsuccessful,4,0.8213552361396304,1,Recorded WG,1,2,0,False,0,2
draft-abad-sdnrg-sdn-ipsec-flow-protection,Unsuccessful,2,0.2518822724161533,1,No recorded WG,0,3,0,False,0,3
draft-abade-xcast20-routing-engine-spec,Unsuccessful,1,0.0,1,No recorded WG,0,2,0,False,0,2
draft-abarbanel-idr-bgp4-te,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-abaris-aicdh,Ongoing,2,0.7529089664613279,1,No recorded WG,0,1,0,False,0,1
draft-abaris-json-dcm,Ongoing,1,0.0,1,No recorded WG,0,1,0,False,0,1
draft-abarth-cake,Unsuccessful,2,0.5338809034907598,1,No recorded WG,0,1,1,False,1,0
draft-abarth-cookie,Unsuccessful,8,0.39698836413415467,1,No recorded WG,0,1,0,False,0,1
draft-abarth-mime-sniff,Unsuccessful,7,2.0396988364134154,1,No recorded WG,0,2,1,False,1,1
