draft_name,direct_became_rfc,rfc_name,first_submission,last_submission,revision_count,successor_draft,lineage_final_draft,lineage_became_rfc,lineage_rfc_name,lineage_rfc_draft,lineage_length
draft-sattler-registry-domain-drop-report,0,,2018-11-29,2018-11-29,1,draft-sattler-domain-drop-list-report,draft-sattler-domain-drop-list-report,0,,,2
draft-west-lang-client-hint,0,,2018-11-29,2018-11-29,1,,draft-west-lang-client-hint,0,,,1
draft-wkumari-not-a-draft,0,,2014-04-14,2026-03-30,25,,draft-wkumari-not-a-draft,0,,,1
draft-ietf-isis-segment-routing-extensions,1,rfc8667,2014-04-11,2019-05-19,26,,draft-ietf-isis-segment-routing-extensions,1,rfc8667,draft-ietf-isis-segment-routing-extensions,1
draft-jov-metropolitan-beacon-system-icd,0,,2014-04-11,2014-04-25,2,,draft-jov-metropolitan-beacon-system-icd,0,,,1
draft-ietf-dnsop-edns-chain-query,1,rfc7901,2014-04-11,2016-02-18,8,,draft-ietf-dnsop-edns-chain-query,1,rfc7901,draft-ietf-dnsop-edns-chain-query,1
draft-ietf-dnsop-edns-tcp-keepalive,1,rfc7828,2014-04-11,2016-02-22,7,,draft-ietf-dnsop-edns-tcp-keepalive,1,rfc7828,draft-ietf-dnsop-edns-tcp-keepalive,1
draft-iab-svg-rfc,1,rfc7996,2016-01-05,2016-02-25,3,,draft-iab-svg-rfc,1,rfc7996,draft-iab-svg-rfc,1
draft-mcallister-pim-yang,0,,2015-07-03,2016-01-07,3,draft-ietf-pim-yang,draft-ietf-pim-yang,1,rfc9128,draft-ietf-pim-yang,2
draft-mglt-dnsop-search-list-processing,0,,2014-04-11,2014-04-11,1,,draft-mglt-dnsop-search-list-processing,0,,,1
draft-hansen-scram-sha256,1,rfc7677,2014-04-11,2015-08-25,5,,draft-hansen-scram-sha256,1,rfc7677,draft-hansen-scram-sha256,1
draft-ietf-6man-why64,1,rfc7421,2014-04-10,2014-10-31,9,,draft-ietf-6man-why64,1,rfc7421,draft-ietf-6man-why64,1
draft-jones-jose-jwk-thumbprint,0,,2014-04-10,2014-07-23,2,,draft-jones-jose-jwk-thumbprint,0,,,1
draft-fairhurst-tsvwg-circuit-breaker,0,,2014-04-10,2014-05-04,2,,draft-fairhurst-tsvwg-circuit-breaker,0,,,1
draft-fairhurst-tsvwg,0,,2014-04-10,2014-04-10,1,,draft-fairhurst-tsvwg,0,,,1
draft-ietf-dane-openpgpkey-usage,0,,2014-04-10,2014-10-27,2,,draft-ietf-dane-openpgpkey-usage,0,,,1
draft-ietf-dane-openpgpkey,1,rfc7929,2014-04-10,2016-05-02,13,,draft-ietf-dane-openpgpkey,1,rfc7929,draft-ietf-dane-openpgpkey,1
draft-dawkins-irtf-newrg,1,rfc7418,2014-04-10,2014-09-23,5,,draft-dawkins-irtf-newrg,1,rfc7418,draft-dawkins-irtf-newrg,1
draft-carpenter-nmrg-homenet-an-use-case,0,,2014-04-09,2014-05-18,2,,draft-carpenter-nmrg-homenet-an-use-case,0,,,1
draft-thomson-webpush-aggregate,0,,2014-10-08,2014-10-08,1,,draft-thomson-webpush-aggregate,0,,,1
draft-stjohns-tls-tls13-crypto-infra,0,,2014-04-09,2014-04-09,1,,draft-stjohns-tls-tls13-crypto-infra,0,,,1
draft-mapathak-interas-ab,0,,2014-04-09,2015-05-28,3,,draft-mapathak-interas-ab,0,,,1
draft-thomson-rtcweb-alpn,0,,2014-04-09,2014-04-09,1,,draft-thomson-rtcweb-alpn,0,,,1
draft-ietf-ccamp-ospf-availability-extension,1,rfc8330,2014-10-08,2017-12-05,14,,draft-ietf-ccamp-ospf-availability-extension,1,rfc8330,draft-ietf-ccamp-ospf-availability-extension,1
draft-marin-ace-wg-coap-eap,0,,2014-04-09,2021-01-21,8,,draft-marin-ace-wg-coap-eap,0,,,1
draft-dawes-sipcore-mediasec-parameter,0,,2014-04-09,2019-11-26,12,,draft-dawes-sipcore-mediasec-parameter,0,,,1
draft-irtf-nmrg-an-gap-analysis,1,rfc7576,2014-04-02,2015-04-30,7,,draft-irtf-nmrg-an-gap-analysis,1,rfc7576,draft-irtf-nmrg-an-gap-analysis,1
draft-lnageleisen-http-chunked-progress,0,,2014-04-08,2014-04-08,1,,draft-lnageleisen-http-chunked-progress,0,,,1
draft-tschofenig-core-coap-tcp-tls,0,,2014-09-03,2015-11-02,6,,draft-tschofenig-core-coap-tcp-tls,0,,,1
draft-ietf-roll-admin-local-policy,1,rfc7732,2014-04-08,2015-02-06,4,,draft-ietf-roll-admin-local-policy,1,rfc7732,draft-ietf-roll-admin-local-policy,1
draft-lzl-mpls-ucase-n-20bit-label-limitation,0,,2014-06-25,2014-06-25,1,,draft-lzl-mpls-ucase-n-20bit-label-limitation,0,,,1
draft-zhong-roll-dis-modifications,0,,2015-11-04,2015-11-04,1,draft-gundogan-roll-dis-modifications,draft-ietf-roll-dis-modifications,0,,,3
draft-arumuganainar-rtgwg-dps-l4-ppn,0,,2014-04-08,2014-10-04,2,,draft-arumuganainar-rtgwg-dps-l4-ppn,0,,,1
draft-gont-6man-rfc6564bis,0,,2014-04-08,2015-09-16,2,,draft-gont-6man-rfc6564bis,0,,,1
draft-zhang-icnrg-hn,0,,2014-04-03,2019-04-06,11,,draft-zhang-icnrg-hn,0,,,1
draft-arumuganainar-rtgwg-dps-requirements,0,,2014-04-07,2014-10-04,2,,draft-arumuganainar-rtgwg-dps-requirements,0,,,1
draft-ietf-urnbis-urns-are-not-uris,0,,2014-04-07,2014-07-03,2,,draft-ietf-urnbis-urns-are-not-uris,0,,,1
draft-chroboczek-babel-diversity-routing,0,,2014-07-04,2016-02-15,2,,draft-chroboczek-babel-diversity-routing,0,,,1
draft-smith-v6ops-mitigate-rtr-dos-mld-slctd-node,0,,2014-04-07,2016-02-27,3,,draft-smith-v6ops-mitigate-rtr-dos-mld-slctd-node,0,,,1
