lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names
lineage_000001,draft--pale-email,1,1,2004-03-02,2004-03-02,0.0,0.0,0,0,,,
lineage_000002,draft--remi-despres--ipv6-rapid-deployment-;draft-despres-v6ops-6rd-ipv6-rapid-deployment,2,3,2008-02-09,2008-05-10,91.0,0.24914442162902123,0,0,,,
lineage_000003,draft-3gpp-collaboration,1,2,2000-11-20,2001-04-12,143.0,0.3915126625598905,1,1,RFC3113,draft-3gpp-collaboration-01,draft-3gpp-collaboration
lineage_000004,draft-3k1n-6tisch-alice0,1,2,2016-12-16,2016-12-16,0.0,0.0,0,0,,,
lineage_000005,draft-451-imp-report,1,1,2017-07-17,2017-07-17,0.0,0.0,0,0,,,
lineage_000006,draft-451-new-protocol-elements;draft-sahib-451-new-protocol-elements,2,6,2017-10-24,2018-08-02,282.0,0.7720739219712526,0,0,,,
lineage_000007,draft-6man-pmip6-ind;draft-damic-6man-pmip6-ind,2,2,2009-03-03,2009-03-04,1.0,0.0027378507871321013,0,0,,,
lineage_000008,draft-6man-udpzero;draft-fairhurst-tsvwg-6man-udpzero;draft-ietf-6man-udpzero,3,17,2009-10-01,2013-02-25,1243.0,3.403148528405202,1,1,RFC6936,draft-ietf-6man-udpzero-12,draft-ietf-6man-udpzero
lineage_000009,draft-6tisch-enrollment-enhanced-beacon,1,1,2018-07-17,2018-07-17,0.0,0.0,0,0,,,
lineage_000010,draft-7996-bis,1,1,2017-12-13,2017-12-13,0.0,0.0,0,0,,,
lineage_000011,draft-a2a-moqt-transport;draft-nandakumar-a2a-moqt-transport,2,2,2025-10-20,2025-10-20,0.0,0.0,0,0,,,
lineage_000012,draft-aa-ldp-link-shut,1,2,2019-08-22,2019-08-22,0.0,0.0,0,0,,,
lineage_000013,draft-aa-mpls-ldp-link-shut,1,1,2019-09-05,2019-09-05,0.0,0.0,0,0,,,
lineage_000014,draft-aanchal-time-implementation-guidance;draft-ietf-ntp-implementation-guidance,2,4,2017-10-30,2019-11-20,751.0,2.0561259411362083,0,0,,,
lineage_000015,draft-aanchal4-ntp-mac;draft-ietf-ntp-mac,2,11,2016-07-08,2019-01-04,910.0,2.4914442162902124,1,1,RFC8573,draft-ietf-ntp-mac-06,draft-ietf-ntp-mac
lineage_000016,draft-aap-oauth-profile,1,2,2026-02-02,2026-02-07,5.0,0.013689253935660506,0,0,,,
lineage_000017,draft-aaron-acme-ari;draft-ietf-acme-ari,2,13,2021-09-23,2025-02-26,1252.0,3.4277891854893907,1,1,RFC9773,draft-ietf-acme-ari-08,draft-ietf-acme-ari
lineage_000018,draft-aaron-acme-profiles;draft-ietf-acme-profiles,2,4,2024-10-17,2026-03-02,501.0,1.3716632443531827,0,0,,,
lineage_000019,draft-aartsetuijn-nipst,1,1,2007-02-28,2007-02-28,0.0,0.0,0,0,,,
lineage_000020,draft-aayadi-6lowpan-tcphc,1,2,2010-07-09,2010-10-25,108.0,0.29568788501026694,0,0,,,
lineage_000021,draft-aazam-cdni-inter-cloud-architecture,1,4,2014-05-26,2015-11-13,536.0,1.4674880219028064,0,0,,,
lineage_000022,draft-abad-i2nsf-sdn-ipsec-flow-protection;draft-ietf-i2nsf-sdn-ipsec-flow-protection,2,19,2016-07-08,2021-03-26,1722.0,4.714579055441479,1,1,RFC9061,draft-ietf-i2nsf-sdn-ipsec-flow-protection-14,draft-ietf-i2nsf-sdn-ipsec-flow-protection
lineage_000023,draft-abad-sdnrg-sdn-ipsec-flow-protection,1,2,2015-07-19,2015-10-19,92.0,0.2518822724161533,0,0,,,
lineage_000024,draft-abade-xcast20-routing-engine-spec,1,1,2009-10-18,2009-10-18,0.0,0.0,0,0,,,
lineage_000025,draft-abarbanel-idr-bgp4-te,1,2,2000-05-02,2000-06-28,57.0,0.15605749486652978,0,0,,,
lineage_000026,draft-abaris-aicdh,1,2,2025-04-30,2026-01-30,275.0,0.7529089664613279,0,0,,,
lineage_000027,draft-abaris-json-dcm,1,1,2025-04-25,2025-04-25,0.0,0.0,0,0,,,
lineage_000028,draft-abarth-cake,1,2,2010-08-22,2011-03-05,195.0,0.5338809034907598,0,0,,,
lineage_000029,draft-abarth-cookie,1,8,2009-08-07,2009-12-30,145.0,0.39698836413415467,0,0,,,
lineage_000030,draft-abarth-mime-sniff;draft-ietf-websec-mime-sniff,2,11,2009-01-09,2011-05-07,848.0,2.321697467488022,0,0,,,
lineage_000031,draft-abarth-origin,1,10,2009-01-21,2010-11-26,674.0,1.8453114305270362,0,0,,,
lineage_000032,draft-abarth-principles-of-origin,1,1,2011-02-21,2011-02-21,0.0,0.0,0,0,,,
lineage_000033,draft-abarth-thewebsocketprotocol,1,2,2011-01-09,2011-01-09,0.0,0.0,0,0,,,
lineage_000034,draft-abarth-url,1,2,2010-11-09,2011-04-23,165.0,0.4517453798767967,0,0,,,
lineage_000035,draft-abarth-websocket-handshake,1,2,2010-10-18,2010-11-09,22.0,0.06023271731690623,0,0,,,
lineage_000036,draft-abbey-scim-agent-extension,1,1,2025-10-16,2025-10-16,0.0,0.0,0,0,,,
lineage_000037,draft-abbott-mcp-ax,1,1,2026-05-05,2026-05-05,0.0,0.0,0,0,,,
lineage_000038,draft-abd-mpls-ldp-identifier-name,1,1,2018-09-21,2018-09-21,0.0,0.0,0,0,,,
lineage_000039,draft-abdelsalam-rtgwg-ipfrr-bgp-only-network,1,1,2026-03-02,2026-03-02,0.0,0.0,0,0,,,
lineage_000040,draft-abdo-hostid-tcpopt-implementation,1,4,2011-10-21,2012-07-16,269.0,0.7364818617385352,0,0,,,
lineage_000041,draft-abeille-netlmm-proxymip6ro,1,2,2007-05-23,2007-11-13,174.0,0.47638603696098564,0,0,,,
lineage_000042,draft-abel-nfc-urn,1,1,2006-06-01,2006-06-01,0.0,0.0,1,1,RFC4729,draft-abel-nfc-urn-00,draft-abel-nfc-urn
lineage_000043,draft-abel-vbas,1,2,2003-10-17,2004-04-15,181.0,0.49555099247091033,0,0,,,
lineage_000044,draft-abela-ulm,1,6,1996-11-05,1999-06-01,938.0,2.568104038329911,0,0,,,
lineage_000045,draft-abela-utf9,1,1,1997-12-24,1997-12-24,0.0,0.0,0,0,,,
lineage_000046,draft-abfb-mpls-tp-control-plane-framework;draft-ietf-ccamp-mpls-tp-cp-framework,2,10,2009-02-23,2011-02-10,717.0,1.9630390143737166,1,1,RFC6373,draft-ietf-ccamp-mpls-tp-cp-framework-06,draft-ietf-ccamp-mpls-tp-cp-framework
lineage_000047,draft-abhattacharya-bess-l2vpn-ipv6-remotepe;draft-abhattacharya-l2vpn-signaling-ipv6-remotepe,2,5,2015-01-14,2015-02-19,36.0,0.09856262833675565,0,0,,,
lineage_000048,draft-abhi-covert,1,1,2008-02-16,2008-02-16,0.0,0.0,0,0,,,
lineage_000049,draft-abhi-eap-radius,1,1,2008-02-13,2008-02-13,0.0,0.0,0,0,,,
lineage_000050,draft-abhishek-coin-xr-edge-cloud,1,1,2021-04-27,2021-04-27,0.0,0.0,0,0,,,
lineage_000051,draft-abhishek-mmusic-overlay-grouping;draft-abhishek-mmusic-superimposition-grouping;draft-overlay-grouping,3,5,2020-10-20,2021-06-01,224.0,0.6132785763175906,0,0,,,
lineage_000052,draft-abhishek-refer-to-event-parameter,1,2,2014-12-23,2015-06-22,181.0,0.49555099247091033,0,0,,,
lineage_000053,draft-abid-eap-osfr,1,1,2005-07-13,2005-07-13,0.0,0.0,0,0,,,
lineage_000054,draft-abiggs-saag-key-management-service,1,4,2014-11-18,2015-11-03,350.0,0.9582477754962354,0,0,,,
lineage_000055,draft-abiggs-saag-primitives-for-conf-group-comms,1,2,2015-09-13,2015-11-03,51.0,0.13963039014373715,0,0,,,
lineage_000056,draft-abilash-quic-network,1,1,2017-01-05,2017-01-05,0.0,0.0,0,0,,,
lineage_000057,draft-abinabraham-vrrp-unicast,1,2,2026-04-20,2026-05-28,38.0,0.10403832991101986,0,0,,,
lineage_000058,draft-abiri-cpfp,1,1,2008-06-30,2008-06-30,0.0,0.0,0,0,,,
lineage_000059,draft-aboba-802-context,1,3,2001-07-11,2002-04-08,271.0,0.7419575633127995,0,0,,,
