lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification
lineage_000001,draft--pale-email,1,1,2004-03-02,2004-03-02,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft--pale-email,,2004-03-02,,,0,,,0,None,Individual / no recorded WG
lineage_000002,draft--remi-despres--ipv6-rapid-deployment-;draft-despres-v6ops-6rd-ipv6-rapid-deployment,2,3,2008-02-09,2008-05-10,91.0,0.24914442162902123,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft--remi-despres--ipv6-rapid-deployment-;draft-despres-v6ops-6rd-ipv6-rapid-deployment,,2008-02-09,,,0,,ipv6;v6ops,2,Ambiguous candidates,Individual / no recorded WG
lineage_000003,draft-3gpp-collaboration,1,2,2000-11-20,2001-04-12,143.0,0.3915126625598905,1,1,RFC3113,draft-3gpp-collaboration-01,draft-3gpp-collaboration,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC3113,draft-3gpp-collaboration-01,Individual Submissions,,0,0,1,draft-3gpp-collaboration,,2000-11-20,,,0,,,0,None,Individual / no recorded WG
lineage_000004,draft-3k1n-6tisch-alice0,1,2,2016-12-16,2016-12-16,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-3k1n-6tisch-alice0,,2016-12-16,,,0,,6tisch,1,Single candidate,Individual / no recorded WG
lineage_000005,draft-451-imp-report,1,1,2017-07-17,2017-07-17,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-451-imp-report,,2017-07-17,,,0,,,0,None,Individual / no recorded WG
lineage_000006,draft-451-new-protocol-elements;draft-sahib-451-new-protocol-elements,2,6,2017-10-24,2018-08-02,282.0,0.7720739219712526,0,0,,,,0,Not published,No mapped published RFC,,,Applications and Real-Time Area;Individual Submissions,,0,0,1,draft-451-new-protocol-elements,draft-sahib-451-new-protocol-elements,2017-10-24,,,0,,,0,None,Individual / no recorded WG
lineage_000007,draft-6man-pmip6-ind;draft-damic-6man-pmip6-ind,2,2,2009-03-03,2009-03-04,1.0,0.0027378507871321013,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-6man-pmip6-ind;draft-damic-6man-pmip6-ind,,2009-03-03,,,0,,6man,1,Single candidate,Individual / no recorded WG
lineage_000008,draft-6man-udpzero;draft-fairhurst-tsvwg-6man-udpzero;draft-ietf-6man-udpzero,3,17,2009-10-01,2013-02-25,1243.0,3.403148528405202,1,1,RFC6936,draft-ietf-6man-udpzero-12,draft-ietf-6man-udpzero,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC6936,draft-ietf-6man-udpzero-12,IPv6 Maintenance;Individual Submissions,6man,1,1,1,draft-6man-udpzero;draft-fairhurst-tsvwg-6man-udpzero,,2009-10-01,2010-05-10,6man,1,221.0,,0,None,Individual to Recorded WG
lineage_000009,draft-6tisch-enrollment-enhanced-beacon,1,1,2018-07-17,2018-07-17,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-6tisch-enrollment-enhanced-beacon,,2018-07-17,,,0,,6tisch,1,Single candidate,Individual / no recorded WG
lineage_000010,draft-7996-bis,1,1,2017-12-13,2017-12-13,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-7996-bis,,2017-12-13,,,0,,,0,None,Individual / no recorded WG
lineage_000011,draft-a2a-moqt-transport;draft-nandakumar-a2a-moqt-transport,2,2,2025-10-20,2025-10-20,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-a2a-moqt-transport;draft-nandakumar-a2a-moqt-transport,,2025-10-20,,,0,,,0,None,Individual / no recorded WG
lineage_000012,draft-aa-ldp-link-shut,1,2,2019-08-22,2019-08-22,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-aa-ldp-link-shut,,2019-08-22,,,0,,,0,None,Individual / no recorded WG
lineage_000013,draft-aa-mpls-ldp-link-shut,1,1,2019-09-05,2019-09-05,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-aa-mpls-ldp-link-shut,,2019-09-05,,,0,,mpls,1,Single candidate,Individual / no recorded WG
lineage_000014,draft-aanchal-time-implementation-guidance;draft-ietf-ntp-implementation-guidance,2,4,2017-10-30,2019-11-20,751.0,2.0561259411362083,0,0,,,,0,Not published,No mapped published RFC,,,Network Time Protocols,ntp,1,1,0,,,,2017-10-30,ntp,0,,,0,None,Recorded WG
lineage_000015,draft-aanchal4-ntp-mac;draft-ietf-ntp-mac,2,11,2016-07-08,2019-01-04,910.0,2.4914442162902124,1,1,RFC8573,draft-ietf-ntp-mac-06,draft-ietf-ntp-mac,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8573,draft-ietf-ntp-mac-06,Network Time Protocols,ntp,1,1,0,,,,2016-07-08,ntp,0,,,0,None,Recorded WG
lineage_000016,draft-aap-oauth-profile,1,2,2026-02-02,2026-02-07,5.0,0.013689253935660506,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-aap-oauth-profile,,2026-02-02,,,0,,oauth,1,Single candidate,Individual / no recorded WG
lineage_000017,draft-aaron-acme-ari;draft-ietf-acme-ari,2,13,2021-09-23,2025-02-26,1252.0,3.4277891854893907,1,1,RFC9773,draft-ietf-acme-ari-08,draft-ietf-acme-ari,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9773,draft-ietf-acme-ari-08,Automated Certificate Management Environment;Individual Submissions,acme,1,1,1,draft-aaron-acme-ari,,2021-09-23,2022-08-25,acme,1,336.0,,0,None,Individual to Recorded WG
lineage_000018,draft-aaron-acme-profiles;draft-ietf-acme-profiles,2,4,2024-10-17,2026-03-02,501.0,1.3716632443531827,0,0,,,,0,Not published,No mapped published RFC,,,Automated Certificate Management Environment,acme,1,1,0,,,,2024-10-17,acme,0,,,0,None,Recorded WG
lineage_000019,draft-aartsetuijn-nipst,1,1,2007-02-28,2007-02-28,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-aartsetuijn-nipst,,2007-02-28,,,0,,,0,None,Individual / no recorded WG
lineage_000020,draft-aayadi-6lowpan-tcphc,1,2,2010-07-09,2010-10-25,108.0,0.29568788501026694,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-aayadi-6lowpan-tcphc,,2010-07-09,,,0,,6lowpan,1,Single candidate,Individual / no recorded WG
lineage_000021,draft-aazam-cdni-inter-cloud-architecture,1,4,2014-05-26,2015-11-13,536.0,1.4674880219028064,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-aazam-cdni-inter-cloud-architecture,,2014-05-26,,,0,,cdni,1,Single candidate,Individual / no recorded WG
lineage_000022,draft-abad-i2nsf-sdn-ipsec-flow-protection;draft-ietf-i2nsf-sdn-ipsec-flow-protection,2,19,2016-07-08,2021-03-26,1722.0,4.714579055441479,1,1,RFC9061,draft-ietf-i2nsf-sdn-ipsec-flow-protection-14,draft-ietf-i2nsf-sdn-ipsec-flow-protection,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9061,draft-ietf-i2nsf-sdn-ipsec-flow-protection-14,Interface to Network Security Functions,i2nsf,1,1,0,,,,2016-07-08,i2nsf,0,,,0,None,Recorded WG
lineage_000023,draft-abad-sdnrg-sdn-ipsec-flow-protection,1,2,2015-07-19,2015-10-19,92.0,0.2518822724161533,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abad-sdnrg-sdn-ipsec-flow-protection,,2015-07-19,,,0,,ipsec,1,Single candidate,Individual / no recorded WG
lineage_000024,draft-abade-xcast20-routing-engine-spec,1,1,2009-10-18,2009-10-18,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abade-xcast20-routing-engine-spec,,2009-10-18,,,0,,,0,None,Individual / no recorded WG
lineage_000025,draft-abarbanel-idr-bgp4-te,1,2,2000-05-02,2000-06-28,57.0,0.15605749486652978,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abarbanel-idr-bgp4-te,,2000-05-02,,,0,,idr,1,Single candidate,Individual / no recorded WG
lineage_000026,draft-abaris-aicdh,1,2,2025-04-30,2026-01-30,275.0,0.7529089664613279,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abaris-aicdh,,2025-04-30,,,0,,,0,None,Individual / no recorded WG
lineage_000027,draft-abaris-json-dcm,1,1,2025-04-25,2025-04-25,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abaris-json-dcm,,2025-04-25,,,0,,json,1,Single candidate,Individual / no recorded WG
lineage_000028,draft-abarth-cake,1,2,2010-08-22,2011-03-05,195.0,0.5338809034907598,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abarth-cake,,2010-08-22,,,0,,,0,None,Individual / no recorded WG
lineage_000029,draft-abarth-cookie,1,8,2009-08-07,2009-12-30,145.0,0.39698836413415467,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abarth-cookie,,2009-08-07,,,0,,,0,None,Individual / no recorded WG
lineage_000030,draft-abarth-mime-sniff;draft-ietf-websec-mime-sniff,2,11,2009-01-09,2011-05-07,848.0,2.321697467488022,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions;Web Security,websec,1,1,1,draft-abarth-mime-sniff,,2009-01-09,2010-12-30,websec,1,720.0,,0,None,Individual to Recorded WG
lineage_000031,draft-abarth-origin,1,10,2009-01-21,2010-11-26,674.0,1.8453114305270362,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abarth-origin,,2009-01-21,,,0,,,0,None,Individual / no recorded WG
lineage_000032,draft-abarth-principles-of-origin,1,1,2011-02-21,2011-02-21,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abarth-principles-of-origin,,2011-02-21,,,0,,,0,None,Individual / no recorded WG
lineage_000033,draft-abarth-thewebsocketprotocol,1,2,2011-01-09,2011-01-09,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-abarth-thewebsocketprotocol,,2011-01-09,,,0,,,0,None,Individual / no recorded WG
