lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification,terminal_drafts,terminal_draft_count,terminal_state_slugs,terminal_state_names,terminal_resolution,provisional_outcome,provisional_outcome_reason,publication_outcome,outcome_reason,primary_comparison_sample,has_active_terminal,has_expired_terminal,has_rfc_terminal_state,has_other_terminal_state,multiple_terminal_drafts,estimated_expiry_date,likely_dead_date,post_expiry_inactivity_days,rq2b_group
lineage_000468,draft-allbery-usefor-usepro;draft-ietf-usefor-usepro,2,16,2004-08-31,2009-03-03,1645.0,4.503764544832307,1,1,RFC5537,draft-ietf-usefor-usepro-14,draft-ietf-usefor-usepro,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC5537,draft-ietf-usefor-usepro-14,Individual Submissions;Usenet Article Standard Update,usefor,1,1,1,draft-allbery-usefor-usepro,,2006-12-04,2004-08-31,usefor,0,,,0,,Recorded WG,draft-ietf-usefor-usepro,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2009-09-03,2011-03-03,6120,Excluded ambiguous chronology
lineage_000655,draft-andersson-lsp-ping-registries-update;draft-andersson-mpls-lsp-ping-registries-update;draft-ietf-mpls-lsp-ping-registries-update,3,16,2019-07-07,2021-03-01,603.0,1.6509240246406571,1,1,RFC9041,draft-ietf-mpls-lsp-ping-registries-update-11,draft-ietf-mpls-lsp-ping-registries-update,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9041,draft-ietf-mpls-lsp-ping-registries-update-11,Individual Submissions;Multiprotocol Label Switching,mpls,1,1,1,draft-andersson-lsp-ping-registries-update,,2019-07-07,2019-07-07,mpls,0,,,0,,Recorded WG,draft-ietf-mpls-lsp-ping-registries-update,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2021-09-01,2023-03-01,1739,Excluded ambiguous chronology
lineage_000769,draft-ao-sfc-oam-path-consistency;draft-ao-sfc-oam-return-path-specified;draft-ietf-sfc-multi-layer-oam;draft-wang-sfc-multi-layer-oam,4,64,2014-10-27,2023-07-07,3175.0,8.692676249144421,1,1,RFC9516,draft-ietf-sfc-multi-layer-oam-28,draft-ietf-sfc-multi-layer-oam,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9516,draft-ietf-sfc-multi-layer-oam-28,Individual Submissions;Service Function Chaining,sfc,1,1,1,draft-ao-sfc-oam-path-consistency;draft-ao-sfc-oam-return-path-specified,,2017-06-29,2014-10-27,sfc,0,,,0,,Recorded WG,draft-ietf-sfc-multi-layer-oam,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2024-01-07,2025-07-07,881,Excluded ambiguous chronology
lineage_000846,draft-arends-private-use-tld;draft-dnsop-private-use-tld;draft-ietf-dnsop-private-use-tld,3,6,2019-11-04,2021-04-10,523.0,1.431895961670089,0,0,,,,0,Not published,No mapped published RFC,,,Domain Name System Operations;Individual Submissions,dnsop,1,1,1,draft-dnsop-private-use-tld;draft-ietf-dnsop-private-use-tld,,2020-10-08,2019-11-04,dnsop,0,,,0,,Recorded WG,draft-ietf-dnsop-private-use-tld,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2021-10-10,2023-04-10,1700,Excluded ambiguous chronology
lineage_000929,draft-arkko-send-ndopt;draft-ietf-send-ipsec,2,3,2003-02-26,2003-06-19,113.0,0.30937713894592744,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions;Securing Neighbor Discovery,send,1,1,1,draft-arkko-send-ndopt,,2003-06-19,2003-02-26,send,0,,,0,,Recorded WG,draft-arkko-send-ndopt,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2003-12-19,2005-06-19,8205,Excluded ambiguous chronology
lineage_001174,draft-aviram-tls-deprecate-obsolete-kex;draft-bartle-tls-deprecate-ffdh;draft-ietf-tls-deprecate-obsolete-kex,3,12,2021-07-09,2026-01-12,1648.0,4.511978097193703,1,1,RFC10015,draft-ietf-tls-deprecate-obsolete-kex-08,draft-ietf-tls-deprecate-obsolete-kex,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC10015,draft-ietf-tls-deprecate-obsolete-kex-08,Individual Submissions;Transport Layer Security,tls,1,1,1,draft-bartle-tls-deprecate-ffdh,,2021-07-30,2021-07-09,tls,0,,,0,,Recorded WG,draft-ietf-tls-deprecate-obsolete-kex,1,active,Active,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,1,0,0,0,0,2026-07-12,2028-01-12,-36,Excluded ambiguous chronology
lineage_001341,draft-baker-6man-hbh-header-handling;draft-ietf-6man-hbh-header-handling,2,8,2015-06-04,2016-03-16,286.0,0.783025325119781,0,0,,,,0,Not published,No mapped published RFC,,,IPv6 Maintenance;Individual Submissions,6man,1,1,1,draft-ietf-6man-hbh-header-handling,,2015-11-03,2015-06-04,6man,0,,,0,,Recorded WG,draft-ietf-6man-hbh-header-handling,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2016-09-16,2018-03-16,3550,Excluded ambiguous chronology
lineage_001568,draft-barnes-sframe-mls;draft-ietf-sframe-enc;draft-omara-sframe,3,16,2020-05-19,2024-04-04,1416.0,3.8767967145790556,1,1,RFC9605,draft-ietf-sframe-enc-09,draft-ietf-sframe-enc,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9605,draft-ietf-sframe-enc-09,Individual Submissions;Secure Media Frames,sframe,1,1,1,draft-barnes-sframe-mls,,2020-11-16,2020-05-19,sframe,0,,,0,,Recorded WG,draft-ietf-sframe-enc,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2024-10-04,2026-04-04,610,Excluded ambiguous chronology
lineage_001821,draft-belyavskiy-rfc5933-bis;draft-dnsop-rfc5933-bis;draft-ietf-dnsop-rfc5933-bis;draft-makarenko-gost2012-dnssec,4,25,2020-01-15,2024-01-25,1471.0,4.027378507871321,1,1,RFC9558,draft-makarenko-gost2012-dnssec-05,draft-makarenko-gost2012-dnssec,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9558,draft-makarenko-gost2012-dnssec-05,Domain Name System Operations;Individual Submissions,dnsop,1,1,1,draft-dnsop-rfc5933-bis;draft-makarenko-gost2012-dnssec,,2020-07-07,2020-01-15,dnsop,0,,,0,,Recorded WG,draft-makarenko-gost2012-dnssec,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2024-07-25,2026-01-25,681,Excluded ambiguous chronology
lineage_002402,draft-bless-tsvwg-le-phb;draft-ietf-tsvwg-le-phb;draft-tsvwg-le-phb,3,14,2016-07-08,2019-03-11,976.0,2.6721423682409307,1,1,RFC8622,draft-ietf-tsvwg-le-phb-10,draft-ietf-tsvwg-le-phb,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8622,draft-ietf-tsvwg-le-phb-10,Individual Submissions;Transport and Services Working Group,tsvwg,1,1,1,draft-tsvwg-le-phb,,2016-10-21,2016-07-08,tsvwg,0,,,0,,Recorded WG,draft-ietf-tsvwg-le-phb;draft-tsvwg-le-phb,2,expired;rfc,Expired;RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,1,1,0,1,2019-09-11,2021-03-11,2460,Excluded ambiguous chronology
