canonical,alias
Orange,orange
Orange,orange labs
Orange,france telecom
Orange,france telecom orange
Orange,france telecom r&d
Alcatel-Lucent,alcatel lucent
Alcatel-Lucent,alcatel-lucent
Nortel,nortel
Nortel,nortel networks
Nortel,nortel networks inc
Sun Microsystems,sun
Sun Microsystems,sun microsystems
Sun Microsystems,sun microsystems inc
Telefonica,telefonica
Telefonica,telefonica i+d
ETRI,etri
ETRI,electronics and telecommunications research institute
H3C,new h3c technologies
H3C,h3c
Comcast,comcast
Comcast,comcast corporation
CNNIC,cnnic
ICANN,icann
BT,bt
BT,british telecom
BT,bt group
Lucent Technologies,lucent technologies
Lucent Technologies,lucent
NEC,nec
NEC,nec corporation
NEC,nec europe
NEC,nec europe ltd
University Carlos III of Madrid,uc3m
University Carlos III of Madrid,universidad carlos iii de madrid
Columbia University,columbia university
Columbia University,columbia u.
University of Bremen,universitaet bremen tzi
University of Bremen,universität bremen tzi
Ciena,ciena
Ciena,ciena corporation
Telecom Italia,telecom italia
INRIA,inria
Motorola,motorola
Motorola,motorola inc
Hewlett-Packard,hewlett-packard
Hewlett-Packard,hewlett packard
Hewlett Packard Enterprise,hpe
Hewlett Packard Enterprise,hewlett packard enterprise
Siemens,siemens
Siemens,siemens ag
Avaya,avaya
APNIC,apnic
APNIC,asia pacific network information centre
CableLabs,cablelabs
Internet Systems Consortium,isc
Internet Systems Consortium,internet systems consortium
Verisign,verisign
Verisign,verisign inc
Verisign,verisign labs
Broadcom,broadcom
MITRE,mitre
MITRE,the mitre corporation
NetApp,netapp
Qualcomm,qualcomm
Qualcomm,qualcomm inc
NIST,nist
NIST,national institute of standards and technology
